sub,PR Evidence,bias_lowbaserate,bias_finalstate,pre_map_change,post_map_change,first_half_postmap,second_half_postmap
62b8cd151b5fd0f9be7d1f11,0.5,0.375,0.625,1,1,1,1
5eceef5fa487421604c337ba,0.625,0.375,0.125,1,1,1,1
5d6ed96c3fe1ac001add3be8,0.5,0.5,0.5,1,1,1,1
5e4b2a1a6a0c8403b9f8938e,0.5,0.375,0.375,1,1,1,1
5e8b9e5e08c9f207f612ac74,0.375,0.5,0.5,1,0.5,0,1
5fd28d6a17926504442d501c,0.375,0.5,0.25,1,0,0,0
62e0251cc2818b23981bfa87,0.625,0.375,0.875,1,0.75,0.5,1
5d40a12f4994c40001e4b80c,0.5,0.5,0.5,1,0.25,0.5,0
5fbb9d170045d6d085a9bbbf,0.75,0.375,0.375,0.75,0.75,0.5,1
60534ad8f7872caee17c7a96,0.5,0.5,0.5,1,0,0,0
