consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PRG_vs_Guessing.thisRepN,PRG_vs_Guessing.thisTrialN,PRG_vs_Guessing.thisN,PRG_vs_Guessing.thisIndex,PRG_vs_Guessing.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,PRS,key_resp_33.keys,key_resp_33.rt,key_resp_31.keys,key_resp_31.rt,reward_reval_real.thisRepN,reward_reval_real.thisTrialN,reward_reval_real.thisN,reward_reval_real.thisIndex,reward_reval_real.ran,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,a,1,0.8273,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,space,1.1586,space,17.182,c,5.1842,d,6.6823,b,3.2528,b,3.1859,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.972,y,1.5226,1,0.8188,0,0,0,0,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.6455,0,1,1,1,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,a,1,0.8321,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,space,1.4674,space,0.6355,c,2.8176,d,2.6573,b,6.2009,d,39.113,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.879,y,1.3566,1,0.229,0,0,0,1,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.1039,0,1,1,0,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,a,1,0.9847,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,space,0.8733,space,0.5993,c,3.7304,d,2.8765,b,2.239,a,2.9208,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,21.419,y,1.7311,1,0.5532,0,0,0,1,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.1434,0,1,1,0,1,planet.png,planet.png,basket.png,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,a,1,1.446,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,space,10.8321,space,1.6193,c,13.0938,c,15.9709,b,6.5176,b,5.8315,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11.1261,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,trident.png,bell.png,houses.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,3.0329,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,612ba6c594a6d54154a88ae7,6304e46e7248f3db553b10b3,2022-08-23_16h31.30.625,pr_task_fullstudy1,2021.1.3,Win32,59.94485074,6304b1a5e971358e215e3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,planet.png,tree.png,compass.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
