,pr_many____ev_prob0_action1,pr_many____ev_prob0_action0,pr_many____ev_rwd0_action1,pr_many____ev_rwd0_action0,sr_many____ev_prob0_action1,sr_many____ev_prob0_action0,sr_many____ev_rwd0_action1,sr_many____ev_rwd0_action0,pr_many____ev_prob1_action1,pr_many____ev_prob1_action0,pr_many____ev_rwd1_action1,pr_many____ev_rwd1_action0,sr_many____ev_prob1_action1,sr_many____ev_prob1_action0,sr_many____ev_rwd1_action1,sr_many____ev_rwd1_action0,pr_many____ev_prob2_action1,pr_many____ev_prob2_action0,pr_many____ev_rwd2_action1,pr_many____ev_rwd2_action0,sr_many____ev_prob2_action1,sr_many____ev_prob2_action0,sr_many____ev_rwd2_action1,sr_many____ev_rwd2_action0,pr_many____ev_prob3_action1,pr_many____ev_prob3_action0,pr_many____ev_rwd3_action1,pr_many____ev_rwd3_action0,sr_many____ev_prob3_action1,sr_many____ev_prob3_action0,sr_many____ev_rwd3_action1,sr_many____ev_rwd3_action0,pr_one____prob_prob0_action1,pr_one____prob_prob0_action0,pr_one____prob_rwd0_action1,pr_one____prob_rwd0_action0,sr_one____prob_prob0_action1,sr_one____prob_prob0_action0,sr_one____prob_rwd0_action1,sr_one____prob_rwd0_action0,pr_one____prob_prob1_action1,pr_one____prob_prob1_action0,pr_one____prob_rwd1_action1,pr_one____prob_rwd1_action0,sr_one____prob_prob1_action1,sr_one____prob_prob1_action0,sr_one____prob_rwd1_action1,sr_one____prob_rwd1_action0,pr_one____prob_prob2_action1,pr_one____prob_prob2_action0,pr_one____prob_rwd2_action1,pr_one____prob_rwd2_action0,sr_one____prob_prob2_action1,sr_one____prob_prob2_action0,sr_one____prob_rwd2_action1,sr_one____prob_rwd2_action0,pr_one____prob_prob3_action1,pr_one____prob_prob3_action0,pr_one____prob_rwd3_action1,pr_one____prob_rwd3_action0,sr_one____prob_prob3_action1,sr_one____prob_prob3_action0,sr_one____prob_rwd3_action1,sr_one____prob_rwd3_action0,sub_num,choices
10,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
11,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
12,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
13,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
14,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
15,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
16,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
17,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
18,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
19,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
20,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
21,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
22,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
23,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
24,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
25,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
26,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
27,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
28,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
29,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
30,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0
31,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
32,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
33,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
34,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
35,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
36,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
37,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
38,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
39,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0
40,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
41,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
42,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
43,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
44,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
45,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
46,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
47,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0
48,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
49,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
50,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
51,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
52,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
53,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
54,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0
55,0.95,0.05,52.0,52.0,0.0,0.0,156,156,0.38,0.62,69.33333333333333,69.33333333333333,0.0,0.0,208,208,0.38,0.62,45.66666666666666,45.66666666666666,0.0,0.0,137,137,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,156.0,208.0,0.47,0.28,156,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0
56,0.95,0.05,46.0,46.0,0.0,0.0,138,138,0.38,0.62,71.66666666666667,71.66666666666667,0.0,0.0,215,215,0.15,0.85,56.0,56.0,0.0,0.0,168,168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.95,0.62,138.0,215.0,0.47,0.28,138,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0
