,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
33,5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0.0,6.2298,0.9107000000000001,5,2.0,1,4
34,5study6_2023-08-14_17h35.30.229.csv,0.16666666666666666,0.0,0.25,0.0,0.0047,0.919,1,3.0,0,4
35,5study6_2023-08-14_17h35.30.229.csv,0.16666666666666666,0.0,0.25,0.0,0.8193,0.919,3,5.0,0,4
36,5study6_2023-08-14_17h35.30.229.csv,0.16666666666666666,0.0,0.25,0.0,1.0001,0.919,4,2.0,0,4
37,5study6_2023-08-14_17h35.30.229.csv,0.16666666666666666,0.0,0.25,0.0,1.015,0.919,6,0.0,1,4
38,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,4.4551,0.8338000000000001,1,1.0,0,4
39,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.8714,0.8338000000000001,3,6.0,0,4
40,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.9723,0.8338000000000001,4,0.0,0,4
41,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.4846,0.8338000000000001,5,2.0,0,4
42,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.6666666666666666,0.5,0.5,0.25,0.6073,0.6834,2,4.0,1,4
43,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.6666666666666666,0.5,0.5,0.25,0.2845,0.6834,6,1.0,1,4
44,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.6666666666666666,0.5,0.5,0.25,0.3414,0.6834,7,5.0,1,4
45,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.6666666666666666,0.5,0.5,0.25,0.3768,0.6834,8,7.0,1,4
46,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,5.323,0.7292,4,5.0,0,4
47,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,0.4862,0.7292,6,6.0,1,4
48,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,2.3757,0.7292,7,7.0,1,4
49,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,1.8615,0.7292,8,0.0,1,4
50,5study6_2023-08-14_16h13.23.056.csv,0.6666666666666666,0.5,0.5,0.25,1.5071,0.76845,3,7.0,1,4
51,5study6_2023-08-14_16h13.23.056.csv,0.6666666666666666,0.5,0.5,0.25,0.4757,0.76845,4,4.0,1,4
52,5study6_2023-08-14_16h13.23.056.csv,0.6666666666666666,0.5,0.5,0.25,0.6513,0.76845,6,2.0,1,4
53,5study6_2023-08-14_16h13.23.056.csv,0.6666666666666666,0.5,0.5,0.25,1.185,0.76845,7,3.0,1,4
54,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.3333333333333333,0.25,0.25,0.0,4.2667,0.8573,1,3.0,1,4
55,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.3333333333333333,0.25,0.25,0.0,1.9854,0.8573,3,7.0,0,4
56,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.3333333333333333,0.25,0.25,0.0,0.8003,0.8573,6,2.0,1,4
57,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.3333333333333333,0.25,0.25,0.0,1.5026,0.8573,7,4.0,0,4
