Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64da56f8d7682bde30bc6072,57732cfcda75d30001487571,APPROVED,,2023-08-14T16:32:11.955000Z,2023-08-14T17:28:32.961000Z,2023-09-04T00:00:18.534000Z,2023-08-14T17:28:36.023419Z,3382.0,C1EI1MLP,1379,English,29,Male,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64da56f9395145d0c16d8400,63ed50df25d0ea08696b393f,RETURNED,Not Applicable,2023-08-14T16:41:53.363000Z,,,2024-05-02T12:13:08.115951Z,,,1084,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fa3a6c16e32db4e5c6,5fbb2540b981f7c1e0fca5ff,RETURNED,Not Applicable,2023-08-14T16:32:51.915000Z,,,2024-05-02T12:13:08.207088Z,,,6063,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fa4fc388480f298a12,633edc50cfae73d4a72ca889,RETURNED,Not Applicable,2023-08-14T16:32:01.714000Z,,,2024-05-02T12:13:08.173000Z,,,3960,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fb2ebcb2564e742fbe,63ed27349738654dde4655ae,APPROVED,,2023-08-14T16:33:08.082000Z,2023-08-14T17:27:01.682000Z,2023-09-04T00:00:18.683000Z,2023-08-14T17:27:02.137965Z,3234.0,C1EI1MLP,406,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da56fbf8c2e043d0bbb10b,6483648c280beabafcb3797e,APPROVED,,2023-08-14T16:34:33.970000Z,2023-08-14T17:38:07.297000Z,2023-09-04T00:00:18.892000Z,2023-08-14T17:38:07.864459Z,3814.0,C1EI1MLP,139,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da56fc7b48aea18d649582,5c9d88bb2b3c77001744ec1c,TIMED-OUT,Not Applicable,2023-08-14T16:31:56.509000Z,,,2024-05-02T12:13:08.188231Z,22621272.0,,2764,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64da56fcbebaf3ae35265596,5fcfb1fe79b8060e0662270a,RETURNED,Not Applicable,2023-08-14T16:31:56.268000Z,,,2024-05-02T12:13:08.237451Z,,,1769,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fcec8fb29ad3710dbb,5ea0b2cbf710490ac2644b7e,APPROVED,,2023-08-14T16:32:03.131000Z,2023-08-14T17:36:09.812000Z,2023-09-04T00:00:19.074000Z,2023-08-14T17:36:10.474386Z,3847.0,C1EI1MLP,1291,English,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64da56fd7e626ba94430a040,62029a07ef1cb18a1337c583,APPROVED,,2023-08-14T16:32:03.126000Z,2023-08-14T17:32:09.148000Z,2023-09-04T00:00:19.268000Z,2023-08-14T17:32:09.971874Z,3607.0,C1EI1MLP,777,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64da56fd9749e49dd1b5ea28,62e0289b12d76830eadddf64,APPROVED,,2023-08-14T16:35:19.435000Z,2023-08-14T17:35:34.724000Z,2023-09-04T00:00:19.450000Z,2023-08-14T17:35:35.254596Z,3616.0,C1EI1MLP,497,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
64da56fd97b1b0bf2246d5a3,645a0f712b769eff5a97d2b2,RETURNED,Not Applicable,2023-08-14T16:32:06.031000Z,,,2024-05-02T12:13:08.250637Z,,,624,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fda6e4b303e6e7ff20,601f5a82dc8ed94a9da4461e,RETURNED,Not Applicable,2023-08-14T16:33:50.988000Z,,,2024-05-02T12:13:08.263116Z,,,1440,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da56fe4ae6b78f4aea9158,63052f20afc39e87110eb83e,APPROVED,,2023-08-14T16:34:14.150000Z,2023-08-14T17:56:45.273000Z,2023-09-04T00:00:19.872000Z,2023-08-14T17:56:45.775527Z,4952.0,C1EI1MLP,1169,English,45,Male,Black,Barbados,United States,United States,English,No,Unemployed (and job seeking)
64da56fe5e5377225070ebaf,5c4594514fe4f800016ea070,APPROVED,,2023-08-14T16:31:58.179000Z,2023-08-14T17:37:06.320000Z,2023-09-04T00:00:19.668000Z,2023-08-14T17:37:07.823917Z,3909.0,C1EI1MLP,1486,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64da56feb159c224e82a72fb,6405feae7d6321bfaaf793e8,APPROVED,,2023-08-14T16:32:07.821000Z,2023-08-14T17:33:39.765000Z,2023-09-04T00:00:20.082000Z,2023-08-14T17:33:40.750208Z,3692.0,C1EI1MLP,1195,English,34,Female,White,United States,United States,United States,English,No,Other
64da572339b84302570acf5e,6495b20dcbfda549afea6f6b,RETURNED,Not Applicable,2023-08-14T16:34:08.269000Z,,,2024-05-02T12:13:08.267755Z,,,642,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da573e87ed19b202e7a599,609140cea1442672dd2141d7,APPROVED,,2023-08-14T16:33:08.081000Z,2023-08-14T17:33:40.527000Z,2023-09-04T00:00:20.291000Z,2023-08-14T17:33:42.349868Z,3633.0,C1EI1MLP,1188,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
