sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.5,0.5,1.0,1.0,4.7885,0.6016,1,2.0,0,5
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.5,0.5,1.0,1.0,1.4692,0.6016,2,0.0,1,5
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.5,0.5,1.0,1.0,6.6574,0.6016,3,1.0,0,5
61486056bf28edc17582494b_study5_pr_2_2023-06-22_14h49.19.950.csv,0.5,0.5,1.0,1.0,0.5344,0.6016,6,3.0,1,5
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.25,0.5,1.0,1.0,1.8096,0.5415,2,2.0,0,5
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.25,0.5,1.0,1.0,0.5428,0.5415,3,3.0,0,5
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.25,0.5,1.0,1.0,1.5478,0.5415,5,1.0,0,5
5cf2ceada14d6b0019cfb019_study5_pr_2_2023-06-22_15h09.27.641.csv,0.25,0.5,1.0,1.0,0.4683,0.5415,6,0.0,1,5
5study5_pr_2_2023-06-22_11h29.03.228.csv,0.5,0.5,1.0,1.0,0.7841,0.4793,3,1.0,0,5
5study5_pr_2_2023-06-22_11h29.03.228.csv,0.5,0.5,1.0,1.0,0.85,0.4793,4,0.0,1,5
5study5_pr_2_2023-06-22_11h29.03.228.csv,0.5,0.5,1.0,1.0,0.1523,0.4793,7,3.0,1,5
5study5_pr_2_2023-06-22_11h29.03.228.csv,0.5,0.5,1.0,1.0,0.2919,0.4793,8,2.0,0,5
5study5_pr_2_2023-06-22_15h00.28.492.csv,0.25,0.5,1.0,1.0,7.681,0.934,1,2.0,0,5
5study5_pr_2_2023-06-22_15h00.28.492.csv,0.25,0.5,1.0,1.0,0.402,0.934,5,1.0,0,5
5study5_pr_2_2023-06-22_15h00.28.492.csv,0.25,0.5,1.0,1.0,0.506,0.934,6,3.0,1,5
5study5_pr_2_2023-06-22_15h00.28.492.csv,0.25,0.5,1.0,1.0,1.568,0.934,8,0.0,0,5
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.75,0.5,1.0,1.0,1.568,0.3667,1,1.0,1,5
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.75,0.5,1.0,1.0,5.0391,0.3667,3,0.0,1,5
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.75,0.5,1.0,1.0,1.9697,0.3667,4,3.0,1,5
5eb989cc2549e1094d55eb35_study5_pr_2_2023-06-22_15h56.45.217.csv,0.75,0.5,1.0,1.0,0.3857,0.3667,7,2.0,0,5
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.5,0.5,1.0,0.25,5.8688,0.8223,1,2.0,1,5
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.5,0.5,1.0,0.25,2.9867,0.8223,4,3.0,1,5
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.5,0.5,1.0,0.25,8.5219,0.8223,5,0.0,0,5
6453c2df1b56ea2d0b96df79_study5_pr_2_2023-06-22_16h39.10.332.csv,0.5,0.5,1.0,0.25,15.1592,0.8223,7,1.0,0,5
