sub,choice,PR_EV,SR_EV,MB_EV,BR_EV,PR_EV_TWO,SR_EV_TWO,MB_EV_TWO,BR_EV_TWO
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.27,0.27,1.0,0.27
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,1.0,0.2,0.2,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.27,0.27,1.0,0.27
5study5_pr_2_2023-06-22_11h29.03.228.csv,0,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.5,0.025,0.025,-1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,0,0.02,0.02,1.0,0.02
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.5,0.025,0.025,-1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.02,0.02,1.0,0.02
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,0,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.0,0.0,1.0,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.0,0.0,1.0,1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.0,0.0,1.0,-1.0
5study5_pr_2_2023-06-22_11h29.03.228.csv,1,0.0,0.0,1.0,-1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,0,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.5,0.025,0.025,-1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.02,0.02,1.0,0.02
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.5,0.025,0.025,-1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.02,0.02,1.0,0.02
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,1.0,0.2,0.2,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.27,0.27,1.0,0.27
5study5_pr_2_2023-06-22_15h00.28.492.csv,0,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,1.0,0.2,0.2,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.27,0.27,1.0,0.27
5study5_pr_2_2023-06-22_15h00.28.492.csv,0,0.2,-0.15,-0.15,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.0,0.0,1.0,-1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.0,0.0,1.0,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.0,0.0,1.0,1.0
5study5_pr_2_2023-06-22_15h00.28.492.csv,1,0.0,0.0,1.0,-1.0
