Image,PR_EV,SR_EV,MB_EV,BR_EV,trial_num,PR_EV_TWO,SR_EV_TWO,MB_EV_TWO,BR_EV_TWO
north,0.2,-0.15,-0.15,1,2,0.34,0.34,1,0.34
train,0.2,-0.15,-0.15,1,4,0.34,0.34,1,0.34
snorkel,0.2,-0.15,-0.15,1,5,0.34,0.34,1,0.34
tophat,0.2,-0.15,-0.15,1,6,0.34,0.34,1,0.34
Houses (low),0.5,0.025,0.025,-1,9,0.02,0.02,1,0.02
Compass (low),0.5,0.025,0.025,-1,10,0.02,0.02,1,0.02
Apple (high),1,0.2,0.2,1,8,0.27,0.27,1,0.27
hammer (high),1,0.2,0.2,1,7,0.27,0.27,1,0.27
hammer.png,0,0,1,1,11,0.27,0.27,1,0.27
compass.png,0,0,1,-1,14,0.02,0.02,1,0.02
houses.png,0,0,1,-1,13,0.02,0.02,1,0.02
apple.png,0,0,1,1,12,0.27,0.27,1,0.27
