s1_image,s2_image,s3_image,action1
compass.png,watch.png,planet.png,9
north.png,bell.png,planet.png,1
houses.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
hammer.png,fox.png,trident.png,9
houses.png,watch.png,trident.png,9
hammer.png,fox.png,trident.png,9
train.png,tree.png,trident.png,1
houses.png,watch.png,planet.png,9
train.png,tree.png,planet.png,1
snorkel.png,bell.png,trident.png,1
houses.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
houses.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
tophat.png,tree.png,planet.png,1
snorkel.png,bell.png,trident.png,1
compass.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
window.png,unicorn.png,planet.png,1
compass.png,watch.png,planet.png,9
houses.png,watch.png,planet.png,9
hammer.png,fox.png,trident.png,9
houses.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
tophat.png,tree.png,trident.png,1
window.png,unicorn.png,planet.png,1
tophat.png,tree.png,planet.png,1
houses.png,watch.png,trident.png,9
apple.png,fox.png,trident.png,9
train.png,tree.png,planet.png,1
compass.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
train.png,tree.png,trident.png,1
window.png,unicorn.png,planet.png,1
compass.png,watch.png,trident.png,9
snorkel.png,bell.png,planet.png,1
tophat.png,tree.png,trident.png,1
train.png,tree.png,planet.png,1
north.png,bell.png,trident.png,1
houses.png,watch.png,trident.png,9
houses.png,watch.png,planet.png,9
houses.png,watch.png,planet.png,9
compass.png,watch.png,trident.png,9
tophat.png,tree.png,trident.png,1
compass.png,watch.png,trident.png,9
north.png,bell.png,planet.png,1
train.png,tree.png,trident.png,1
north.png,bell.png,planet.png,1
snorkel.png,bell.png,planet.png,1
houses.png,watch.png,planet.png,9
compass.png,watch.png,planet.png,9
compass.png,watch.png,trident.png,9
tophat.png,tree.png,trident.png,1
houses.png,watch.png,trident.png,9
tophat.png,tree.png,planet.png,1
apple.png,fox.png,trident.png,9
north.png,bell.png,trident.png,1
apple.png,fox.png,trident.png,9
train.png,tree.png,trident.png,1
compass.png,watch.png,trident.png,9
north.png,bell.png,planet.png,1
snorkel.png,bell.png,planet.png,1
compass.png,watch.png,planet.png,9
compass.png,watch.png,planet.png,9
train.png,tree.png,planet.png,1
snorkel.png,bell.png,planet.png,1
houses.png,watch.png,trident.png,9
apple.png,fox.png,trident.png,9
houses.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
houses.png,watch.png,planet.png,9
tophat.png,tree.png,planet.png,1
compass.png,watch.png,planet.png,9
snorkel.png,bell.png,planet.png,1
tophat.png,tree.png,trident.png,1
apple.png,fox.png,trident.png,9
hammer.png,fox.png,trident.png,9
houses.png,watch.png,trident.png,9
apple.png,fox.png,trident.png,9
compass.png,watch.png,trident.png,9
tophat.png,tree.png,planet.png,1
houses.png,watch.png,trident.png,9
compass.png,watch.png,planet.png,9
apple.png,fox.png,trident.png,9
north.png,bell.png,trident.png,1
houses.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
window.png,unicorn.png,planet.png,1
houses.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
window.png,unicorn.png,planet.png,1
houses.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
north.png,bell.png,trident.png,1
snorkel.png,bell.png,planet.png,1
compass.png,watch.png,planet.png,9
train.png,tree.png,trident.png,1
window.png,unicorn.png,planet.png,1
tophat.png,tree.png,planet.png,1
tophat.png,tree.png,planet.png,1
houses.png,watch.png,trident.png,9
north.png,bell.png,planet.png,1
tophat.png,tree.png,planet.png,1
houses.png,watch.png,planet.png,9
houses.png,watch.png,trident.png,9
houses.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
houses.png,watch.png,planet.png,9
hammer.png,fox.png,trident.png,9
compass.png,watch.png,planet.png,9
compass.png,watch.png,planet.png,9
apple.png,fox.png,trident.png,9
hammer.png,fox.png,trident.png,9
compass.png,watch.png,trident.png,9
tophat.png,tree.png,trident.png,1
apple.png,fox.png,trident.png,9
compass.png,watch.png,trident.png,9
compass.png,watch.png,trident.png,9
snorkel.png,bell.png,trident.png,1
snorkel.png,bell.png,planet.png,1
train.png,tree.png,trident.png,1
