Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
637dc93e15b564338aa34ed9,60085b13f2ffe0445918dd6c,APPROVED,2022-11-23T07:22:09.189000Z,2022-11-23T09:39:14.719000Z,2022-11-28T10:00:37.640000Z,2022-11-23T09:39:16.182926Z,8226,C1EI1MLP,56,"English, Afrikaans",20,Male,White,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),
637deceb065b189536ca933f,5fbae54831099083583afff0,APPROVED,2022-11-23T09:50:50.744000Z,2022-11-23T11:49:23.220000Z,2022-11-28T10:00:37.745000Z,2022-11-23T11:49:23.548643Z,7113,C1EI1MLP,1512,English,45,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
637dececa38388e47f9fe81a,60ddfb3db6a71ad9ba75e387,APPROVED,2022-11-23T09:59:51.729000Z,2022-11-23T11:43:00.483000Z,2022-11-28T10:00:37.841000Z,2022-11-23T11:43:01.108761Z,6189,C1EI1MLP,476,English,20,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking),
637deced70ec20dcfea236e5,5baf6705848bbd0001d6fc8a,APPROVED,2022-11-23T09:52:56.984000Z,2022-11-23T11:43:09.677000Z,2022-11-28T10:00:37.944000Z,2022-11-23T11:43:10.044513Z,6613,C1EI1MLP,1130,"German, Italian, English, French, Polish",27,Female,White,Poland,Poland,Poland,English,No,Full-Time,
637decef6d4f250d9971be1b,5fc4aaf87e22685e9e8e5c8f,APPROVED,2022-11-23T09:50:39.590000Z,2022-11-23T11:23:36.686000Z,2022-11-28T10:00:38.157000Z,2022-11-23T11:23:37.067648Z,5578,C1EI1MLP,289,"English, Italian, Russian, Spanish, Ukrainian",27,Female,Mixed,Ukraine,Italy,Ukraine,Italian,No,Part-Time,
637decef3867b370e8571593,5df2235d5a34251266ea645e,APPROVED,2022-11-23T09:50:39.948000Z,2022-11-23T12:23:00.342000Z,2022-11-28T10:00:38.051000Z,2022-11-23T12:23:00.762965Z,9141,C1EI1MLP,519,"Hungarian, English",25,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking),
637decf0dabbe83d35cd7c8f,5f591c6d75be841230aa6ced,APPROVED,2022-11-23T09:50:40.236000Z,2022-11-23T11:29:30.628000Z,2022-11-28T10:00:38.731000Z,2022-11-23T11:29:31.113111Z,5931,C1EI1MLP,353,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Unemployed (and job seeking),
637decf0b687bff21b2b492c,5a38d56e50833c0001eeacf3,APPROVED,2022-11-23T09:50:42.378000Z,2022-11-23T11:38:32.180000Z,2022-11-28T10:00:38.630000Z,2022-11-23T11:38:32.511615Z,6470,C1EI1MLP,932,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
637decf01bfc746493bccdcf,6102a52c8a4ed0d104d68a15,APPROVED,2022-11-23T09:50:46.852000Z,2022-11-23T11:46:43.566000Z,2022-11-28T10:00:38.263000Z,2022-11-23T11:46:43.896864Z,6957,C1EI1MLP,239,"English, Afrikaans",33,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
637decf1fbf6b180fc6165dd,5d0ba121619661001a7f4fe6,APPROVED,2022-11-23T09:50:41.083000Z,2022-11-23T11:36:21.073000Z,2022-11-28T10:00:39.156000Z,2022-11-23T11:36:21.386759Z,6340,C1EI1MLP,162,"Greek, English, Spanish",28,Male,Mixed,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking),
