"X","sub","pr_raw","bias_highbaserate","pre_map_change","post_map_change","rt_planning_pr","median_RT_actionselection","trial_num","planning_q","PR_individual_answers","experiment","log_rt_planning","PR"
33,"610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv",0.666666667,-2.441435368,1,0,0.1777,0.5853,3.103834391,1,1,1,-1.192027801,0.267798096923532
34,"610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv",0.666666667,-2.441435368,1,0,0.623,0.5853,7.103834391,1,1,1,0.062421982,0.267798096923532
35,"610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv",0.666666667,-2.441435368,1,0,2.2344,0.5853,8.103834391,1,1,1,1.339603478,0.267798096923532
36,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,1.129,1.15415,-0.896165609,1,1,1,-0.022031857,0.267798096923532
37,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,0.7194,1.15415,0.103834391,1,1,1,-0.47270189,0.267798096923532
38,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,0.6184,1.15415,2.103834391,1,1,1,-0.623983924,0.267798096923532
39,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,0.9691,1.15415,3.103834391,1,1,1,-0.174751616,0.267798096923532
40,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,0.5014,1.15415,4.103834391,1,0,1,-0.833715236,0.267798096923532
41,"5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv",0.666666667,-2.691435368,0.75,1,1.7872,1.15415,8.103834391,1,0,1,0.437286007,0.267798096923532
42,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,1.0507,0.53345,0.103834391,1,1,1,0.677846542,0.889535030005716
43,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,1.3042,0.53345,2.103834391,1,1,1,0.893979759,0.889535030005716
44,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,0.6066,0.53345,4.103834391,1,1,1,0.12850425,0.889535030005716
45,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,0.8183,0.53345,5.103834391,1,0,1,0.427863672,0.889535030005716
46,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,1.5014,0.53345,6.103834391,1,1,1,1.03478794,0.889535030005716
47,"5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv",0.833333333,-2.191435368,0.75,0,1.4164,0.53345,7.103834391,1,1,1,0.976508375,0.889535030005716
48,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,9.8656,1.0342,-0.896165609,1,1,1,2.255425778,1.51127196681832
49,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,5.7748,1.0342,0.103834391,1,1,1,1.719875443,1.51127196681832
50,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,1.7268,1.0342,3.103834391,1,1,1,0.512641804,1.51127196681832
51,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,4.9342,1.0342,5.103834391,1,1,1,1.562562371,1.51127196681832
52,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,0.534,1.0342,7.103834391,1,1,1,-0.660987621,1.51127196681832
53,"5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv",1,-2.191435368,0.75,0.75,0.5222,1.0342,8.103834391,1,1,1,-0.683332804,1.51127196681832
54,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,1.8039,0.4367,2.103834391,1,0,1,1.418459806,-0.975675776701678
55,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,1.6153,0.4367,3.103834391,1,1,1,1.308029516,-0.975675776701678
56,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,5.2884,0.4367,4.103834391,1,1,1,2.494024561,-0.975675776701678
57,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,1.5475,0.4367,5.103834391,1,0,1,1.265149544,-0.975675776701678
58,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,4.4486,0.4367,6.103834391,1,0,1,2.321098258,-0.975675776701678
59,"61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv",0.333333333,-2.441435368,1,1,2.0495,0.4367,8.103834391,1,0,1,1.546104679,-0.975675776701678
60,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.8008,0.30415,0.103834391,1,0,1,0.968090227,-0.353938839889073
61,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.7179,0.30415,1.103834391,1,1,1,0.858809283,-0.353938839889073
62,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.701,0.30415,4.103834391,1,0,1,0.834986886,-0.353938839889073
63,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.6319,0.30415,5.103834391,1,0,1,0.731210153,-0.353938839889073
64,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.7179,0.30415,6.103834391,1,1,1,0.858809283,-0.353938839889073
65,"58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv",0.5,-2.441435368,1,1,0.4841,0.30415,8.103834391,1,1,1,0.464770496,-0.353938839889073
66,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,3.0031,1.4856,-0.896165609,1,1,1,0.703826357,0.267798096923532
67,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,0.5188,1.4856,0.103834391,1,0,1,-1.052055558,0.267798096923532
68,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,2.0356,1.4856,1.103834391,1,1,1,0.314971885,0.267798096923532
69,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,0.7837,1.4856,3.103834391,1,1,1,-0.639547716,0.267798096923532
70,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,0.6675,1.4856,6.103834391,1,0,1,-0.80003462,0.267798096923532
71,"614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv",0.666666667,-2.441435368,1,1,0.6194,1.4856,7.103834391,1,1,1,-0.874822742,0.267798096923532
72,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.5181,0.959,0.103834391,1,1,1,0.459323757,0.889535030005716
73,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.173,0.959,2.103834391,1,1,1,0.201428774,0.889535030005716
74,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.3785,0.959,3.103834391,1,1,1,0.362860156,0.889535030005716
75,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.2343,0.959,4.103834391,1,1,1,0.252368212,0.889535030005716
76,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.1008,0.959,5.103834391,1,0,1,0.137901392,0.889535030005716
77,"5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv",0.833333333,-2.191435368,0.75,0.75,1.1284,0.959,6.103834391,1,1,1,0.162664904,0.889535030005716
78,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,0.8852,0.2271,-0.896165609,1,0,1,1.360423159,-0.975675776701678
79,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,1.0436,0.2271,0.103834391,1,0,1,1.525041104,-0.975675776701678
80,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,0.6691,0.2271,2.103834391,1,0,1,1.080543077,-0.975675776701678
81,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,0.6752,0.2271,3.103834391,1,0,1,1.089618494,-0.975675776701678
82,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,0.8295,0.2271,4.103834391,1,1,1,1.295432661,-0.975675776701678
83,"5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv",0.333333333,-2.441435368,1,0.25,0.6434,0.2271,7.103834391,1,1,1,1.041376166,-0.975675776701678
84,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,1.6182,0.37275,-0.896165609,1,1,1,1.468161746,-0.353938839889073
85,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,3.934,0.37275,0.103834391,1,0,1,2.356504045,-0.353938839889073
86,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,0.6908,0.37275,3.103834391,1,0,1,0.616942393,-0.353938839889073
87,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,0.4359,0.37275,5.103834391,1,0,1,0.156504906,-0.353938839889073
88,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,0.4584,0.37275,6.103834391,1,1,1,0.206834212,-0.353938839889073
89,"5Caleb_study2_2022-11-23_09h22.30.683.csv",0.5,-2.441435368,1,0.75,0.4197,0.37275,7.103834391,1,1,1,0.118632217,-0.353938839889073
90,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,0.5734,0.3132,0.103834391,1,1,1,0.604741589,0.889535030005716
91,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,2.1381,0.3132,1.103834391,1,1,1,1.920830899,0.889535030005716
92,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,0.4953,0.3132,2.103834391,1,1,1,0.458321675,0.889535030005716
93,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,1.3213,0.3132,3.103834391,1,1,1,1.439529415,0.889535030005716
94,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,0.5336,0.3132,6.103834391,1,0,1,0.53280453,0.889535030005716
95,"5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv",0.833333333,-2.441435368,1,0.75,1.9716,0.3132,8.103834391,1,1,1,1.839758711,0.889535030005716
96,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,0.8217,0.3428,0.103834391,1,0,1,0.874228178,-0.353938839889073
