,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
30,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,2.7221,0.5853,0.10383439053730714,1,0,1,1.5370343839322966,-1.5554768135157264
31,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,0.4963,0.5853,1.1038343905373071,1,1,1,-0.16494395370378018,-1.5554768135157264
32,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,1.4511,0.5853,2.1038343905373074,1,0,1,0.907952632199872,-1.5554768135157264
33,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,0.1777,0.5853,3.1038343905373074,1,1,1,-1.1920278011365697,-1.5554768135157264
34,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,0.623,0.5853,7.103834390537307,1,1,1,0.06242198249027779,-1.5554768135157264
35,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,-2.441435367804411,1.0,0.0,2.2344,0.5853,8.103834390537306,1,1,1,1.3396034783337918,-1.5554768135157264
36,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,1.129,1.15415,-0.8961656094626929,1,1,1,-0.02203185714034523,-1.5554768135157264
37,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,0.7194,1.15415,0.10383439053730714,1,1,1,-0.4727018900284836,-1.5554768135157264
38,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,0.6184,1.15415,2.1038343905373074,1,1,1,-0.6239839240167951,-1.5554768135157264
39,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,0.9691,1.15415,3.1038343905373074,1,1,1,-0.1747516155495029,-1.5554768135157264
40,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,0.5014,1.15415,4.103834390537307,1,0,1,-0.8337152355658143,-1.5554768135157264
41,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,-2.691435367804411,0.75,1.0,1.7872,1.15415,8.103834390537306,1,0,1,0.43728600702492904,-1.5554768135157264
42,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,1.0507,0.53345,0.10383439053730714,1,1,1,0.6778465420572594,-1.3888101475157262
43,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,1.3042,0.53345,2.1038343905373074,1,1,1,0.8939797593216318,-1.3888101475157262
44,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,0.6066,0.53345,4.103834390537307,1,1,1,0.1285042496170106,-1.3888101475157262
45,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,0.8183,0.53345,5.103834390537307,1,0,1,0.42786367189586577,-1.3888101475157262
