,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning
34,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,0.623,0.5853,7.105009685389681,1,1,1,0.06242198249027779
35,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,2.2344,0.5853,8.10500968538968,1,1,1,1.3396034783337918
36,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,1.129,1.15415,-0.8949903146103193,1,1,1,-0.02203185714034523
37,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.7194,1.15415,0.1050096853896807,1,1,1,-0.4727018900284836
38,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.6184,1.15415,2.105009685389681,1,1,1,-0.6239839240167951
39,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.9691,1.15415,3.105009685389681,1,1,1,-0.1747516155495029
40,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.5014,1.15415,4.105009685389681,1,0,1,-0.8337152355658143
41,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,1.7872,1.15415,8.10500968538968,1,0,1,0.43728600702492904
42,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.0507,0.53345,0.1050096853896807,1,1,1,0.6778465420572594
43,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.3042,0.53345,2.105009685389681,1,1,1,0.8939797593216318
44,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,0.6066,0.53345,4.105009685389681,1,1,1,0.1285042496170106
