sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
6486095a473feb3d3607d3de_study5_pr_2_2023-06-22_15h55.30.425.csv,0.3333333333333333,0.5,0.75,0.75,1.670299999,0.47009999999999996,4,4.0,0
612cd9f34adcee82f65685a1_study5_pr_2_2023-06-22_16h01.23.116.csv,0.6666666666666666,0.25,0.5,0.5,0.252,0.3515,1,7.0,1
612cd9f34adcee82f65685a1_study5_pr_2_2023-06-22_16h01.23.116.csv,0.6666666666666666,0.25,0.5,0.5,0.2016,0.3515,2,0.0,1
612cd9f34adcee82f65685a1_study5_pr_2_2023-06-22_16h01.23.116.csv,0.6666666666666666,0.25,0.5,0.5,0.267800001,0.3515,3,4.0,1
612cd9f34adcee82f65685a1_study5_pr_2_2023-06-22_16h01.23.116.csv,0.6666666666666666,0.25,0.5,0.5,0.150699999,0.3515,4,1.0,1
61503885693f6ebde3f2fcbc_study5_pr_2_2023-06-22_16h01.17.789.csv,0.5,0.5,1.0,0.0,3.2043,0.65125,1,0.0,1
61503885693f6ebde3f2fcbc_study5_pr_2_2023-06-22_16h01.17.789.csv,0.5,0.5,1.0,0.0,0.0751,0.65125,2,5.0,1
61503885693f6ebde3f2fcbc_study5_pr_2_2023-06-22_16h01.17.789.csv,0.5,0.5,1.0,0.0,0.5245,0.65125,3,6.0,0
61503885693f6ebde3f2fcbc_study5_pr_2_2023-06-22_16h01.17.789.csv,0.5,0.5,1.0,0.0,0.1589,0.65125,4,1.0,1
5ea5ce7be9fb245c8d7deded_study5_pr_2_2023-06-22_15h50.59.366.csv,0.5,0.5,1.0,0.0,0.379,0.307,1,6.0,1
5ea5ce7be9fb245c8d7deded_study5_pr_2_2023-06-22_15h50.59.366.csv,0.5,0.5,1.0,0.0,1.551,0.307,2,0.0,1
5ea5ce7be9fb245c8d7deded_study5_pr_2_2023-06-22_15h50.59.366.csv,0.5,0.5,1.0,0.0,0.674,0.307,3,7.0,1
5ea5ce7be9fb245c8d7deded_study5_pr_2_2023-06-22_15h50.59.366.csv,0.5,0.5,1.0,0.0,0.301,0.307,4,4.0,0
5c329fab10677f0001de116a_study5_pr_2_2023-06-22_15h07.50.432.csv,0.16666666666666666,0.5,1.0,0.0,0.8683,0.4867,1,7.0,0
5c329fab10677f0001de116a_study5_pr_2_2023-06-22_15h07.50.432.csv,0.16666666666666666,0.5,1.0,0.0,0.568,0.4867,2,0.0,0
5c329fab10677f0001de116a_study5_pr_2_2023-06-22_15h07.50.432.csv,0.16666666666666666,0.5,1.0,0.0,0.8121,0.4867,3,3.0,1
5c329fab10677f0001de116a_study5_pr_2_2023-06-22_15h07.50.432.csv,0.16666666666666666,0.5,1.0,0.0,0.4342,0.4867,4,4.0,0
6146ecd3f9931f9e8a9d8cc4_study5_pr_2_2023-06-22_14h57.29.102.csv,0.3333333333333333,0.25,0.75,1.0,3.264,0.43695,1,0.0,1
6146ecd3f9931f9e8a9d8cc4_study5_pr_2_2023-06-22_14h57.29.102.csv,0.3333333333333333,0.25,0.75,1.0,1.3849,0.43695,2,7.0,0
6146ecd3f9931f9e8a9d8cc4_study5_pr_2_2023-06-22_14h57.29.102.csv,0.3333333333333333,0.25,0.75,1.0,0.5363,0.43695,3,4.0,1
6146ecd3f9931f9e8a9d8cc4_study5_pr_2_2023-06-22_14h57.29.102.csv,0.3333333333333333,0.25,0.75,1.0,2.4158,0.43695,4,5.0,0
60c1042feef36a30f677c2ca_study5_pr_2_2023-06-22_15h11.04.633.csv,0.6666666666666666,0.5,1.0,0.0,3.3011,0.3875,1,5.0,1
60c1042feef36a30f677c2ca_study5_pr_2_2023-06-22_15h11.04.633.csv,0.6666666666666666,0.5,1.0,0.0,0.42,0.3875,2,0.0,1
60c1042feef36a30f677c2ca_study5_pr_2_2023-06-22_15h11.04.633.csv,0.6666666666666666,0.5,1.0,0.0,0.5694,0.3875,3,7.0,1
60c1042feef36a30f677c2ca_study5_pr_2_2023-06-22_15h11.04.633.csv,0.6666666666666666,0.5,1.0,0.0,0.5891,0.3875,4,2.0,1
62a447d91e71bfacd2e8c006_study5_pr_2_2023-06-22_15h12.16.055.csv,0.5,0.5,1.0,0.5,3.8307,0.6639,1,3.0,1
62a447d91e71bfacd2e8c006_study5_pr_2_2023-06-22_15h12.16.055.csv,0.5,0.5,1.0,0.5,2.942,0.6639,2,7.0,1
62a447d91e71bfacd2e8c006_study5_pr_2_2023-06-22_15h12.16.055.csv,0.5,0.5,1.0,0.5,0.6948,0.6639,3,2.0,0
62a447d91e71bfacd2e8c006_study5_pr_2_2023-06-22_15h12.16.055.csv,0.5,0.5,1.0,0.5,1.2467,0.6639,4,0.0,1
610a52647a452dee7ca89360_study5_pr_2_2023-06-22_16h05.48.267.csv,0.16666666666666666,0.5,1.0,1.0,5.8688,0.3011,1,0.0,1
610a52647a452dee7ca89360_study5_pr_2_2023-06-22_16h05.48.267.csv,0.16666666666666666,0.5,1.0,1.0,4.2179,0.3011,2,7.0,0
610a52647a452dee7ca89360_study5_pr_2_2023-06-22_16h05.48.267.csv,0.16666666666666666,0.5,1.0,1.0,1.6858,0.3011,3,2.0,0
610a52647a452dee7ca89360_study5_pr_2_2023-06-22_16h05.48.267.csv,0.16666666666666666,0.5,1.0,1.0,0.3515,0.3011,4,1.0,0
614b94457a6ec7a724e0ffd6_study5_pr_2_2023-06-22_15h11.30.270.csv,0.3333333333333333,0.5,1.0,0.0,1.2504,0.5834,1,1.0,1
614b94457a6ec7a724e0ffd6_study5_pr_2_2023-06-22_15h11.30.270.csv,0.3333333333333333,0.5,1.0,0.0,0.6188,0.5834,2,2.0,0
614b94457a6ec7a724e0ffd6_study5_pr_2_2023-06-22_15h11.30.270.csv,0.3333333333333333,0.5,1.0,0.0,0.3187,0.5834,3,4.0,0
614b94457a6ec7a724e0ffd6_study5_pr_2_2023-06-22_15h11.30.270.csv,0.3333333333333333,0.5,1.0,0.0,0.3671,0.5834,4,6.0,1
645d03230f6cd9171b72e384_study5_pr_2_2023-06-22_15h59.52.666.csv,0.3333333333333333,0.5,1.0,0.25,2.1501,0.3001,1,3.0,1
645d03230f6cd9171b72e384_study5_pr_2_2023-06-22_15h59.52.666.csv,0.3333333333333333,0.5,1.0,0.25,0.9002,0.3001,2,4.0,0
645d03230f6cd9171b72e384_study5_pr_2_2023-06-22_15h59.52.666.csv,0.3333333333333333,0.5,1.0,0.25,0.7001,0.3001,3,1.0,1
645d03230f6cd9171b72e384_study5_pr_2_2023-06-22_15h59.52.666.csv,0.3333333333333333,0.5,1.0,0.25,0.55,0.3001,4,0.0,0
5e33190a5a41122e93c40989_study5_pr_2_2023-06-22_14h58.56.996.csv,0.3333333333333333,0.5,1.0,0.25,4.9843,0.3699,1,0.0,0
5e33190a5a41122e93c40989_study5_pr_2_2023-06-22_14h58.56.996.csv,0.3333333333333333,0.5,1.0,0.25,0.4332,0.3699,2,5.0,0
5e33190a5a41122e93c40989_study5_pr_2_2023-06-22_14h58.56.996.csv,0.3333333333333333,0.5,1.0,0.25,0.7534,0.3699,3,4.0,1
5e33190a5a41122e93c40989_study5_pr_2_2023-06-22_14h58.56.996.csv,0.3333333333333333,0.5,1.0,0.25,0.5659,0.3699,4,2.0,1
595e7974af78da0001a21c3a_study5_pr_2_2023-06-22_15h03.48.150.csv,0.3333333333333333,0.75,0.75,0.25,4.5489,0.50465,1,3.0,1
595e7974af78da0001a21c3a_study5_pr_2_2023-06-22_15h03.48.150.csv,0.3333333333333333,0.75,0.75,0.25,0.8678,0.50465,2,1.0,0
595e7974af78da0001a21c3a_study5_pr_2_2023-06-22_15h03.48.150.csv,0.3333333333333333,0.75,0.75,0.25,0.5212,0.50465,3,5.0,0
595e7974af78da0001a21c3a_study5_pr_2_2023-06-22_15h03.48.150.csv,0.3333333333333333,0.75,0.75,0.25,0.723,0.50465,4,7.0,1
644570d57bfa2bc1597e4982_study5_pr_2_2023-06-22_14h57.50.300.csv,0.0,0.0,0.0,0.0,2.1725,0.54345,1,3.0,0
644570d57bfa2bc1597e4982_study5_pr_2_2023-06-22_14h57.50.300.csv,0.0,0.0,0.0,0.0,2.5314,0.54345,2,1.0,0
