consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_24.rt,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,104.7786,y,40.973,1,2.9844,0,0,0,1,1,planet.png,planet.png,basket.png,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.5983,0,1,1,0,1,planet.png,planet.png,basket.png,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,a,1,15.3621,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,space,159.6822,space,33.9544,c,27.0377,d,32.5819,b,23.1453,b,30.9084,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.8951,y,3.1845,1,1.6778,0,0,0,0,1,planet.png,planet.png,basket.png,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.2585,0,1,1,1,1,planet.png,planet.png,basket.png,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,a,1,2.859,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,space,20.5557,space,22.5773,c,10.5921,c,36.9297,b,20.7302,b,12.255,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,space,33.7771,6,1,5.1877,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,4.6279,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3.9465,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,tophat.png,tree.png,planet.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3.1052,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,compass.png,watch.png,trident.png,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2.5196,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.7329,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,train.png,tree.png,planet.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,58acbfacea3d11000170e99a,001,2022-12-08_09h53.13.595,study3,2021.1.3,Win32,60.07449237,58acbfacea3d11000170e99a,639196b66de4c8b2f2d051a0,6391a5d0756c38a3a847a0b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2.0157,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
