consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action.rt,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_25.rt,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,2.7319,y,4.0993,1,3.3023,0,0,0,0,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.859,0,1,1,1,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,a,1,5.6573,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,space,19.872,space,31.6341,c,15.6045,d,31.3545,b,17.8138,b,25.6386,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.2845,y,2.2106,1,1.058,0,0,0,0,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.4004,0,1,1,1,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,a,1,1.4144,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,space,1.1564,space,1.1545,c,6.495,d,31.346,b,24.6424,b,33.1334,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.8456,y,1.7972,1,0.635,0,0,0,0,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.1521,0,1,1,1,1,planet.png,planet.png,basket.png,60317fc2c8f6320ecde4bcb3,001,2022-12-08_15h50.15.939,study3,2021.1.3,Win32,60.0060006,60317fc2c8f6320ecde4bcb3,639196b66de4c8b2f2d051a0,6391f910214d7f9cbe45ca91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
