consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_24.rt,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,a,1,3.5784,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,space,0.8167,space,0.1931,c,5.6888,d,12.2832,b,2.9068,b,1.9793,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.8884,y,2.0385,1,1.273,0,0,0,1,1,planet.png,planet.png,basket.png,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.5526,0,1,1,0,1,planet.png,planet.png,basket.png,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,a,1,0.6398,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,space,1.3743,space,0.9571,c,2.8454,d,5.3611,b,2.2303,c,2.6345,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.0539,y,1.5365,1,1.1675,0,0,0,1,1,planet.png,planet.png,basket.png,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.1572,0,1,1,0,1,planet.png,planet.png,basket.png,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,a,1,1.1666,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Abril,001,2022-12-08_09h27.24.386,study3,2021.1.3,Win32,60.81245439,612ba888d24d12eb3e06b15f,639196b66de4c8b2f2d051a0,63919fcbca1af1ae3ed05177,,,,,,,,,space,1.0337,space,1.0593,c,13.2391,c,61.69,b,119.739,b,112.4507,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
