,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
26,5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1.0,0.25,0.25,0.25,0.8239,0.9573,3,1.0,0
27,5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1.0,0.25,0.25,0.25,0.6425,0.9573,4,3.0,0
28,5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1.0,0.25,0.25,0.25,0.8889,0.9573,5,7.0,0
29,5PARTICIPANT_study3_2022-12-08_09h37.49.224.csv,1.0,0.25,0.25,0.25,0.9545,0.9573,6,4.0,0
30,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,14.67,0.8845,1,0.0,0
31,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,4.1266,0.8845,2,4.0,0
32,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,0.8747,0.8845,3,1.0,0
33,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,1.1273,0.8845,4,5.0,0
34,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,2.5338,0.8845,5,9.0,0
35,5acc65f668b65b00018db322_study3_2022-12-08_16h55.23.348.csv,0.8333333333333334,0.5,1.0,1.0,0.9756,0.8845,6,3.0,1
36,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,1.675,1.1135000000000002,1,0.0,0
37,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,1.254,1.1135000000000002,2,3.0,0
38,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,0.991,1.1135000000000002,3,8.0,0
39,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,1.375,1.1135000000000002,4,9.0,0
40,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,0.984,1.1135000000000002,5,1.0,0
41,5PARTICIPANT_study3_2022-12-08_10h22.01.344.csv,1.0,0.5,1.0,1.0,1.207,1.1135000000000002,6,5.0,0
42,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,3.3836,1.12055,1,4.0,1
43,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,4.6047,1.12055,2,2.0,0
44,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,0.8511,1.12055,3,5.0,0
45,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,2.4015,1.12055,4,8.0,0
46,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,1.5878,1.12055,5,7.0,0
47,5d4ce3e7ffbcf800179d56cd_study3_2022-12-08_08h22.14.031.csv,0.8333333333333334,0.5,1.0,0.5,0.8334,1.12055,6,9.0,0
48,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,3.6242,0.9028,1,4.0,0
49,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,2.6727,0.9028,2,2.0,1
50,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,1.3041,0.9028,3,9.0,1
51,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,0.9027,0.9028,4,8.0,0
52,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,0.7186,0.9028,5,3.0,0
53,5PARTICIPANT_study3_2022-12-08_14h49.19.560.csv,0.6666666666666666,0.25,0.75,0.75,0.9509,0.9028,6,1.0,0
54,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,1.1826,0.8395,1,6.0,0
55,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,0.8976,0.8395,2,4.0,0
56,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,0.6842,0.8395,3,9.0,0
57,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,0.7119,0.8395,4,5.0,0
58,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,1.0784,0.8395,5,0.0,0
59,6098ad15adcdf37d6ac9557e_study3_2022-12-08_13h15.39.302.csv,1.0,0.5,1.0,0.0,0.8505,0.8395,6,1.0,0
60,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,4.6674,0.82665,1,4.0,1
61,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,0.1676,0.82665,2,7.0,0
62,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,0.601,0.82665,3,8.0,1
63,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,1.2007,0.82665,4,0.0,0
64,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,0.5511,0.82665,5,1.0,0
65,5Abril_study3_2022-12-08_09h27.24.386.csv,0.5,0.5,1.0,0.0,0.501,0.82665,6,3.0,1
66,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,3.8376,0.917,1,4.0,1
67,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,3.5717,0.917,2,0.0,1
68,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,1.6971,0.917,3,2.0,0
69,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,2.8863,0.917,4,7.0,1
70,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,1.5118,0.917,5,5.0,1
71,63066ec05eef5ac6baf1c158_study3_2022-12-08_09h21.18.930.csv,0.16666666666666666,1.0,0.5,0.0,1.0853,0.917,6,9.0,1
72,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,3.983,0.822,1,3.0,1
73,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,0.873,0.822,2,6.0,0
74,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,2.084,0.822,3,5.0,0
75,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,1.237,0.822,4,9.0,0
76,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,1.083,0.822,5,7.0,0
77,5d470786da637a00014ba26f_study3_2022-12-08_11h43.29.974.csv,0.8333333333333334,0.5,1.0,0.25,0.989,0.822,6,2.0,0
78,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,1.238,1.11875,1,6.0,1
79,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,1.5823,1.11875,2,5.0,0
80,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,6.8304,1.11875,3,0.0,0
81,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,1.4714,1.11875,4,9.0,1
82,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,1.3184,1.11875,5,1.0,1
83,5Egidijus_study3_2022-12-08_10h54.31.596.csv,0.5,0.5,1.0,0.0,1.0041,1.11875,6,2.0,0
84,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,0.3092,0.9097500000000001,1,6.0,0
85,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,0.0302,0.9097500000000001,2,7.0,0
86,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,0.7005,0.9097500000000001,3,2.0,0
87,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,0.0666,0.9097500000000001,4,0.0,0
88,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,0.9525,0.9097500000000001,5,8.0,1
89,601705a0246e51313e8ed38e_study3_2022-12-08_15h51.37.826.csv,0.6666666666666666,0.25,0.75,0.75,1.3741,0.9097500000000001,6,5.0,1
90,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,4.54,1.1353,1,0.0,1
91,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,1.9357,1.1353,2,4.0,1
92,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,1.106,1.1353,3,1.0,1
93,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,1.2356,1.1353,4,8.0,1
94,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,1.1351,1.1353,5,9.0,1
95,61542447849549ee611e74fe_study3_2022-12-08_09h29.21.297.csv,0.16666666666666666,0.5,1.0,0.25,0.9946,1.1353,6,7.0,0
96,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,2.9279,0.89925,1,5.0,0
97,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,0.8431,0.89925,2,8.0,0
98,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,0.7133,0.89925,3,2.0,0
99,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,0.8448,0.89925,4,4.0,0
100,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,1.9786,0.89925,5,0.0,0
101,5PARTICIPANT_study3_2022-12-08_09h25.03.180.csv,0.8333333333333334,0.5,1.0,0.0,1.0924,0.89925,6,1.0,1
102,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,7.0052,0.9869,1,3.0,0
103,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,3.4224,0.9869,2,7.0,0
104,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,0.8399,0.9869,3,6.0,0
105,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,0.8399,0.9869,4,1.0,0
106,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,1.2787,0.9869,5,8.0,0
107,5PARTICIPANT_study3_2022-12-08_15h48.42.226.csv,1.0,0.25,0.75,0.25,1.0206,0.9869,6,4.0,0
108,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.6081,1.4362,1,7.0,1
