,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
180,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.9018,0.9865,1,8.0,1
181,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.3609,0.9865,2,3.0,1
182,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.2409,0.9865,3,7.0,1
183,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.2571,0.9865,4,2.0,1
184,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.2266,0.9865,5,6.0,1
185,6026a3507e666237c315a0b0_study3_2022-12-08_09h32.08.262.csv,0.0,0.75,0.75,0.25,0.2343,0.9865,6,1.0,1
186,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,1.7762,1.0762,1,2.0,0
187,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,0.7019,1.0762,2,8.0,0
188,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,0.8389,1.0762,3,0.0,0
189,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,3.9552,1.0762,4,1.0,0
190,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,2.1675,1.0762,5,4.0,1
191,60a6dd8779e3de1097e5d50a_study3_2022-12-08_09h48.20.796.csv,0.6666666666666666,0.5,1.0,1.0,2.4939,1.0762,6,7.0,1
192,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,3.8374,1.0517,1,3.0,0
193,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,0.8859,1.0517,2,2.0,0
194,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,0.9683,1.0517,3,0.0,0
195,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,1.1505,1.0517,4,1.0,0
196,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,0.8847,1.0517,5,5.0,0
197,5f0f7fe1d7ad1c000b42d091_study3_2022-12-08_15h03.30.847.csv,1.0,0.5,1.0,0.0,1.0114,1.0517,6,4.0,0
198,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,2.4911,0.77305,1,8.0,1
199,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,0.7677,0.77305,2,4.0,1
200,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,0.7382,0.77305,3,0.0,0
201,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,0.7342,0.77305,4,2.0,1
202,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,0.7042,0.77305,5,7.0,1
203,5b9aed646a11180001a8082e_study3_2022-12-08_14h48.11.964.csv,0.16666666666666666,0.5,1.0,0.5,0.3107,0.77305,6,9.0,1
204,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,7.851,1.6564999999999999,1,3.0,0
205,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,0.104,1.6564999999999999,2,2.0,0
206,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,0.666,1.6564999999999999,3,8.0,0
207,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,4.411,1.6564999999999999,4,1.0,0
208,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,6.457,1.6564999999999999,5,9.0,0
209,606dd5bde7bc8c04efce0fba_study3_2022-12-08_10h11.58.421.csv,1.0,0.5,1.0,1.0,1.705,1.6564999999999999,6,6.0,0
210,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,1.284,0.7013,1,0.0,0
211,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,0.5455,0.7013,2,6.0,0
212,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,1.0484,0.7013,3,4.0,0
213,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,0.3248,0.7013,4,7.0,0
214,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,3.1841,0.7013,5,1.0,0
215,5f9c70519242e010e0f1c608_study3_2022-12-08_09h19.12.832.csv,0.8333333333333334,0.5,1.0,1.0,2.7172,0.7013,6,2.0,1
216,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,2.737,1.1915,1,5.0,0
217,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,0.819,1.1915,2,8.0,0
218,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,0.169,1.1915,3,9.0,0
219,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,0.809,1.1915,4,4.0,0
220,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,0.418,1.1915,5,7.0,0
221,5Lau93_study3_2022-12-08_15h49.18.268.csv,1.0,1.0,0.5,0.5,2.251,1.1915,6,0.0,0
222,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,3.8372,0.6579,1,3.0,0
223,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,1.4181,0.6579,2,2.0,0
224,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,0.7344,0.6579,3,4.0,0
225,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,0.5081,0.6579,4,7.0,0
226,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,0.6525,0.6579,5,8.0,0
227,5cfcf07cee119e000103de71_study3_2022-12-08_08h27.03.078.csv,1.0,0.5,1.0,0.0,0.769,0.6579,6,0.0,0
228,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,2.212,1.5516,1,0.0,1
229,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,8.3836,1.5516,2,9.0,1
230,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,1.5506,1.5516,3,4.0,0
231,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,1.5528,1.5516,4,1.0,1
232,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,5.057,1.5516,5,6.0,0
233,5b0710e7a84dcf0001beee8a_study3_2022-12-08_14h48.13.036.csv,0.5,0.5,1.0,0.25,7.3683,1.5516,6,7.0,0
234,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,0.7552,0.93475,1,8.0,0
235,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,3.8138,0.93475,2,6.0,0
236,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,1.5762,0.93475,3,0.0,1
237,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,1.6939,0.93475,4,4.0,0
238,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,2.9778,0.93475,5,5.0,0
239,5fc60be0227abc1b525a09a8_study3_2022-12-08_10h03.58.512.csv,0.6666666666666666,0.5,1.0,1.0,1.5783,0.93475,6,2.0,1
240,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,3.5673,1.0359,1,3.0,0
241,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,1.808,1.0359,2,9.0,0
242,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,0.9321,1.0359,3,8.0,0
243,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,1.1529,1.0359,4,5.0,0
244,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,0.9728,1.0359,5,0.0,0
245,6166e78051425fa22de68491_study3_2022-12-08_14h45.08.366.csv,1.0,0.5,1.0,0.0,1.8651,1.0359,6,1.0,0
246,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,2.3178,1.1526,1,4.0,0
247,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,0.8173,1.1526,2,1.0,0
248,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,0.9506,1.1526,3,9.0,0
249,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,2.7787,1.1526,4,5.0,1
250,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,0.6273,1.1526,5,2.0,0
251,60d51a3f5496a458dc0d4716_study3_2022-12-08_16h23.26.079.csv,0.8333333333333334,0.5,1.0,0.25,1.3008,1.1526,6,8.0,0
252,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,0.8648,0.8322499999999999,1,7.0,1
253,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,4.5456,0.8322499999999999,2,6.0,1
254,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,0.3456,0.8322499999999999,3,8.0,0
255,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,0.571,0.8322499999999999,4,5.0,0
256,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,0.8048,0.8322499999999999,5,3.0,0
257,5d60061e45714d00019ad6a4_study3_2022-12-08_15h48.36.688.csv,0.6666666666666666,0.75,0.75,0.0,1.699,0.8322499999999999,6,1.0,0
258,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,2.8279,0.82375,1,1.0,1
259,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,0.2436,0.82375,2,0.0,0
260,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,0.3129,0.82375,3,6.0,0
261,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,0.3728,0.82375,4,9.0,1
262,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,0.2227,0.82375,5,2.0,1
263,5PARTICIPANT_study3_2022-12-08_09h54.26.475.csv,0.5,0.5,1.0,0.25,0.2229,0.82375,6,8.0,0
264,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,6.8937,1.0972,1,2.0,1
265,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,1.8923,1.0972,2,3.0,1
266,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,1.1786,1.0972,3,0.0,1
267,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,1.7771,1.0972,4,7.0,1
268,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,1.0423,1.0972,5,4.0,1
269,5ca65510a0b6540012283c32_study3_2022-12-08_10h00.28.248.csv,0.0,1.0,0.5,0.5,0.7745,1.0972,6,8.0,1
270,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,1.749,0.9452,1,3.0,0
271,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,1.6584,0.9452,2,4.0,0
272,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,1.1051,0.9452,3,9.0,0
273,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,1.1246,0.9452,4,1.0,0
274,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,2.9331,0.9452,5,2.0,0
275,62fc94176ecdef3f7bd04833_study3_2022-12-08_15h02.04.880.csv,1.0,0.5,1.0,1.0,0.4892,0.9452,6,5.0,0
276,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,1.3751,0.90465,1,4.0,0
277,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,0.5717,0.90465,2,0.0,0
278,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,6.987,0.90465,3,7.0,0
279,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,0.5242,0.90465,4,9.0,0
280,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,0.6083,0.90465,5,8.0,0
281,62aa33eec600b41d4dc4b4e8_study3_2022-12-08_14h51.43.021.csv,1.0,0.5,1.0,0.25,0.7573,0.90465,6,5.0,0
282,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,6.687,1.0055,1,1.0,1
283,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,0.964,1.0055,2,5.0,1
284,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,0.897,1.0055,3,6.0,0
285,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,0.985,1.0055,4,8.0,0
286,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,1.162,1.0055,5,4.0,1
287,5PARTICIPANT_study3_2022-12-08_08h42.30.538.csv,0.5,0.75,0.75,0.0,0.92,1.0055,6,0.0,0
288,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,1.1386,0.8991499995,1,8.0,0
289,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,1.088599999,0.8991499995,2,3.0,0
290,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,1.038400001,0.8991499995,3,7.0,0
291,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,1.039400001,0.8991499995,4,2.0,0
292,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,1.0379,0.8991499995,5,9.0,0
293,5Adonai_study3_2022-12-08_09h26.27.426.csv,1.0,0.5,1.0,0.0,0.5864,0.8991499995,6,4.0,0
294,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,3.6002,0.6758,1,4.0,0
295,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,2.7718,0.6758,2,7.0,1
296,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,0.6747,0.6758,3,1.0,0
297,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,0.6261,0.6758,4,0.0,0
298,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,0.5013,0.6758,5,9.0,0
299,5PARTICIPANT_study3_2022-12-08_14h54.32.801.csv,0.8333333333333334,0.5,1.0,0.0,0.5686,0.6758,6,8.0,0
300,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.9517,0.9052,1,8.0,0
301,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.5838,0.9052,2,0.0,0
302,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.3976,0.9052,3,7.0,0
303,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.3632,0.9052,4,1.0,1
304,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.6598,0.9052,5,4.0,0
305,5f09f8393ca8420e457c44c3_study3_2022-12-08_08h20.51.873.csv,0.8333333333333334,0.5,1.0,0.0,0.2851,0.9052,6,3.0,0
306,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,2.3219,0.93675,1,7.0,0
307,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,2.5707,0.93675,2,1.0,1
308,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,1.0018,0.93675,3,9.0,0
309,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,1.5815,0.93675,4,4.0,0
310,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,1.5922,0.93675,5,0.0,0
311,5b421b9ac2e3810001763252_study3_2022-12-08_12h03.39.632.csv,0.8333333333333334,0.5,1.0,0.0,0.8736,0.93675,6,3.0,0
312,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,2.105,0.997,1,4.0,0
313,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,0.819,0.997,2,0.0,0
314,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,3.404,0.997,3,5.0,0
315,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,1.116,0.997,4,9.0,0
316,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,0.917,0.997,5,6.0,0
317,5c0ed000fd0c0a0001f881ea_study3_2022-12-08_10h46.50.832.csv,1.0,0.5,1.0,0.25,0.77,0.997,6,3.0,0
318,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,2.3677,1.1698,1,1.0,1
319,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,1.2358,1.1698,2,4.0,1
320,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,4.5289,1.1698,3,9.0,0
321,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,2.7742,1.1698,4,7.0,0
322,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,2.6639,1.1698,5,0.0,0
323,5d0c90dc3382180015624ad9_study3_2022-12-08_15h37.44.509.csv,0.5,0.5,1.0,0.75,3.101,1.1698,6,8.0,1
324,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,2.8091,1.07335,1,5.0,0
325,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,1.6266,1.07335,2,9.0,1
326,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,1.7531,1.07335,3,2.0,0
327,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,1.2491,1.07335,4,3.0,0
328,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,0.8542,1.07335,5,6.0,0
329,6278d1758a5f6d5af02d863c_study3_2022-12-08_18h01.19.381.csv,0.8333333333333334,0.5,1.0,1.0,1.6692,1.07335,6,7.0,0
330,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,0.6172,1.0255,1,8.0,0
331,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,0.8748,1.0255,2,0.0,0
332,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,0.8344,1.0255,3,6.0,1
333,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,0.791,1.0255,4,5.0,0
334,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,0.8505,1.0255,5,2.0,1
335,5ffc6ebd8f29260965cd1eed_study3_2022-12-08_09h29.20.154.csv,0.6666666666666666,0.5,0.5,0.75,1.2649,1.0255,6,7.0,0
336,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,0.6026,0.6416,1,9.0,0
337,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,0.8172,0.6416,2,7.0,1
338,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,0.5321,0.6416,3,0.0,0
339,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,0.9727,0.6416,4,3.0,1
340,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,0.4065,0.6416,5,8.0,0
341,59b536d60516f6000197c3f9_study3_2022-12-08_10h45.20.710.csv,0.5,0.5,1.0,1.0,1.5239,0.6416,6,4.0,1
342,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,4.293,0.772,1,4.0,1
343,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,0.889,0.772,2,5.0,0
344,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,1.654,0.772,3,3.0,0
345,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,0.785,0.772,4,1.0,0
346,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,0.705,0.772,5,9.0,0
347,5d920df12b679a00182bbc73_study3_2022-12-08_09h30.47.755.csv,0.8333333333333334,0.5,1.0,0.5,1.488,0.772,6,6.0,0
