Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6494564e43bd51b373a47597,5d64f820c94fbf0001addee8,APPROVED,2023-06-22T14:13:23.435000Z,2023-06-22T15:07:03.998000Z,2023-06-25T15:17:43.328000Z,2023-06-22T15:07:04.702000Z,3221,C1EI1MLP,887,"English, French",34,Male,White,France,France,France,French,No,Unemployed (and job seeking),Not Applicable
6494567c7131a59eb74684d6,614b94457a6ec7a724e0ffd6,APPROVED,2023-06-22T14:11:13.112000Z,2023-06-22T15:02:32.143000Z,2023-06-25T15:17:43.545000Z,2023-06-22T15:02:33.361000Z,3080,C1EI1MLP,395,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649456aa731ff6665e3bd661,62a447d91e71bfacd2e8c006,APPROVED,2023-06-22T14:11:54.404000Z,2023-06-22T15:02:42.860000Z,2023-06-25T15:17:43.753000Z,2023-06-22T15:02:43.496000Z,3049,C1EI1MLP,1069,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
649456dd38cdde38769c0534,6476e433c1ca7aeb899b85f2,APPROVED,2023-06-22T14:13:08.116000Z,2023-06-22T14:54:28.878000Z,2023-06-26T05:10:16.139000Z,2023-06-22T14:54:31.387000Z,2481,NOCODE,117,"German, English",32,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649456fcbc48de0d51b0ed7c,63ee09a8b6db0d49e7c72de4,APPROVED,2023-06-22T14:13:21.787000Z,2023-06-22T15:08:27.264000Z,2023-06-25T15:17:43.953000Z,2023-06-22T15:08:27.935000Z,3306,C1EI1MLP,402,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6494577bccefe03a9cc355d6,5ef08aa7177a735c78ffbf40,APPROVED,2023-06-22T14:15:34.612000Z,2023-06-22T15:26:20.546000Z,2023-06-25T15:17:44.159000Z,2023-06-22T15:26:22.486000Z,4246,C1EI1MLP,966,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,Not Applicable
64945780d1e3a418888017f7,56a8bb427f2472000b9522f6,APPROVED,2023-06-22T14:15:44.233000Z,2023-06-22T15:15:47.330000Z,2023-06-25T15:17:44.359000Z,2023-06-22T15:15:48.022000Z,3604,C1EI1MLP,2354,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649457c425b1cde66ac6d997,6310b3b209ed474f82b5a44d,APPROVED,2023-06-22T14:16:45.196000Z,2023-06-22T15:24:24.746000Z,2023-06-25T15:17:44.560000Z,2023-06-22T15:24:25.449000Z,4060,C1EI1MLP,790,"English, Other",26,Male,White,Poland,United Kingdom,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6494587fc312e5b3a0bbb146,5fd6b4a35025425f9acafb30,APPROVED,2023-06-22T14:20:10.057000Z,2023-06-22T15:30:17.932000Z,2023-06-25T15:17:44.783000Z,2023-06-22T15:30:30.152000Z,4208,C1EI1MLP,1457,"English, Arabic",39,Female,Other,Palestinian Territory,United Kingdom,Palestinian Territory,Arabic,No,Part-Time,Not Applicable
649458f063597db6e14684d8,648099f11700d769a2e9034a,APPROVED,2023-06-22T14:21:44.699000Z,2023-06-22T15:21:33.130000Z,2023-06-25T15:17:45.017000Z,2023-06-22T15:21:37.667000Z,3589,C1EI1MLP,513,"English, French, German",38,Male,Mixed,Germany,Germany,Germany,German,No,Full-Time,Not Applicable
6494592aec0beaff5eeb337c,5c36415362073c000166c847,APPROVED,2023-06-22T14:22:41.144000Z,2023-06-22T15:18:58.089000Z,2023-06-25T15:17:45.242000Z,2023-06-22T15:18:58.972000Z,3377,C1EI1MLP,1079,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649459a8a1869d24eee5e34e,5ddac93016d10ca2991f7dbf,APPROVED,2023-06-22T14:24:49.862000Z,2023-06-22T15:20:21.670000Z,2023-06-25T15:17:45.489000Z,2023-06-22T15:20:22.411000Z,3332,C1EI1MLP,1201,"English, Polish",31,Female,White,Poland,United Kingdom,Poland,Polish,No,Full-Time,Not Applicable
649459c32fab0638a1cfea53,5e13814a1e2e589ca3a4aec2,APPROVED,2023-06-22T14:28:33.678000Z,2023-06-22T15:13:34.692000Z,2023-06-25T15:17:45.682000Z,2023-06-22T15:13:35.499000Z,2702,C1EI1MLP,891,"Spanish, English",34,Male,White,Spain,Spain,Spain,Spanish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
64945b364e9d079a6d3228ec,568aab53316b10000d50d76b,APPROVED,2023-06-22T14:31:20.229000Z,2023-06-22T15:21:12.172000Z,2023-06-25T15:17:45.882000Z,2023-06-22T15:21:13.346000Z,2992,C1EI1MLP,2433,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,Not Applicable
64945bb13762bd7d18c7bf59,60c13bce0d8616e48d044bd0,APPROVED,2023-06-22T14:33:21.575000Z,2023-06-22T16:10:40.783000Z,2023-06-25T15:17:46.087000Z,2023-06-22T16:10:41.501000Z,5840,C1EI1MLP,816,"Basque, Catalan, Dutch, English, Finnish, French, Galician, German, Greek, Portuguese, Romanian, Spanish, Italian, Maltese, Russian, Polish",28,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,Not Applicable
64945c197a9dbedd6556b880,5d50692435e3af0001f05a15,APPROVED,2023-06-22T14:35:08.335000Z,2023-06-22T15:30:47.272000Z,2023-06-25T15:17:46.275000Z,2023-06-22T15:30:52.164000Z,3339,C1EI1MLP,1618,English,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
64945c250a24e7d52eda3bfa,641358a332a1837ff26bb10e,APPROVED,2023-06-22T14:35:36.832000Z,2023-06-22T15:23:18.229000Z,2023-06-25T15:17:46.467000Z,2023-06-22T15:23:20.378000Z,2862,C1EI1MLP,225,"English, Italian, Spanish",47,Female,White,Italy,United Kingdom,Italy,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
64945f2e8fbad9e6d2169b63,571e7cef1bdf1a000991234a,APPROVED,2023-06-22T14:48:57.563000Z,2023-06-22T16:50:23.209000Z,2023-06-25T15:17:46.662000Z,2023-06-22T16:50:24.546000Z,7286,C1EI1MLP,661,English,44,Male,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
64945fb1cf394801f6717307,610c0f704d0cc5bc70ae5158,APPROVED,2023-06-22T14:50:47.947000Z,2023-06-22T15:38:00.244000Z,2023-06-25T15:17:46.864000Z,2023-06-22T15:38:01.207000Z,2833,C1EI1MLP,359,"Catalan, English, French, Galician, Italian, Korean, Japanese, Portuguese, Russian, Spanish, Swedish, Polish, German, Chinese",21,Female,White,Spain,Spain,Spain,Spanish,Yes,Other,Not Applicable
649461c033280f60d3d91b4c,5d3e3541fd9694001a2d1789,APPROVED,2023-06-22T14:59:35.353000Z,2023-06-22T15:52:50.637000Z,2023-06-25T15:17:47.075000Z,2023-06-22T15:52:51.395000Z,3196,C1EI1MLP,405,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6494648ac94f433a1ad26168,627bbf69ab2788507bc421a2,APPROVED,2023-06-22T15:11:11.631000Z,2023-06-22T16:48:21.757000Z,2023-06-25T15:17:47.274000Z,2023-06-22T16:48:22.529000Z,5831,C1EI1MLP,1481,"English, German",37,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED,Not Applicable
649465c3e9763e38167e92ce,5be84b9a40b06b0001370c9f,APPROVED,2023-06-22T15:16:28.203000Z,2023-06-22T16:04:00.067000Z,2023-06-25T15:17:47.465000Z,2023-06-22T16:04:00.983000Z,2852,C1EI1MLP,614,"French, English, Spanish",24,Female,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),Not Applicable
64946f8b55c77bdea534237a,5d696d1c55742f001af29220,APPROVED,2023-06-22T15:58:08.507000Z,2023-06-22T16:43:55.255000Z,2023-06-25T15:17:47.670000Z,2023-06-22T16:43:56.033000Z,2747,C1EI1MLP,2105,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,Not Applicable
64948a2d0052a5d4a63228df,5ea96886ef7ece0604eee527,APPROVED,2023-06-22T17:52:15.127000Z,2023-06-22T18:45:16.478000Z,2023-06-25T15:17:47.872000Z,2023-06-22T18:45:17.239000Z,3182,C1EI1MLP,2110,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649492a82895e7e220145498,631c8e97db06f601f81bd82f,APPROVED,2023-06-22T18:27:55.093000Z,2023-06-22T19:09:04.440000Z,2023-06-25T15:17:48.081000Z,2023-06-22T19:09:05.208000Z,2470,C1EI1MLP,5396,"English, Arabic",27,Male,White,United States,United States,United States,English,No,Full-Time,Not Applicable
649492a906ee1a484621ce2d,63ea4a4ed214b26e3ff8b7f2,APPROVED,2023-06-22T18:27:56.094000Z,2023-06-22T19:17:07.398000Z,2023-06-25T15:17:48.288000Z,2023-06-22T19:17:09.075000Z,2952,C1EI1MLP,722,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
649492aaf099962729c9b0d2,64421f9918923f5a128d0d06,APPROVED,2023-06-22T18:28:12.738000Z,2023-06-22T19:18:17.602000Z,2023-06-25T15:17:48.501000Z,2023-06-22T19:18:18.364000Z,3005,C1EI1MLP,857,English,22,Female,Black,United States,United States,United States,English,Yes,Part-Time,Not Applicable
649492aafb12e1ed0fd985c3,5e7fa0e918b10804bb87eb63,APPROVED,2023-06-22T18:28:04.870000Z,2023-06-22T19:21:56.485000Z,2023-06-25T15:17:48.709000Z,2023-06-22T19:21:58.925000Z,3232,C1EI1MLP,2351,English,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
649492ab11f4fa01bc5c6c9c,60643e9b1b2e851ff9238862,APPROVED,2023-06-22T18:28:00.782000Z,2023-06-22T19:32:02.400000Z,2023-06-25T15:17:48.946000Z,2023-06-22T19:32:03.502000Z,3842,C1EI1MLP,2307,"English, French",35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6494aceb9a08b117dcc3907f,6107acc592df914a921e2b41,APPROVED,2023-06-22T20:20:14.273000Z,2023-06-22T21:38:07.646000Z,2023-06-25T15:17:49.166000Z,2023-06-22T21:38:08.453000Z,4674,C1EI1MLP,1050,English,49,Male,White,Ireland,Ireland,Ireland,English,Yes,Full-Time,Not Applicable
6494aced34ba0b5be8496316,609c6cc79875c8f0ba5d2242,APPROVED,2023-06-22T20:20:01.064000Z,2023-06-22T21:10:54.896000Z,2023-06-25T15:17:49.380000Z,2023-06-22T21:10:59.308000Z,3054,C1EI1MLP,5627,"English, German",62,Female,White,Germany,United States,United States,German,No,Full-Time,Not Applicable
6494aced5a6bf5446bae7825,5eab2dbd0c7a950efa32c3dc,APPROVED,2023-06-22T20:20:38.086000Z,2023-06-22T21:23:43.325000Z,2023-06-25T15:17:49.597000Z,2023-06-22T21:23:44.043000Z,3786,C1EI1MLP,1105,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6494aceedd3c2f32ac56b89d,63d79fcd741f9cfb2f87152f,APPROVED,2023-06-22T20:20:09.142000Z,2023-06-22T21:28:20.818000Z,2023-06-25T15:17:49.831000Z,2023-06-22T21:28:22.894000Z,4092,C1EI1MLP,1665,English,48,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Other,Not Applicable
6494acef67e0e3550b1a3105,5bbd2bdcf7358a000171636f,APPROVED,2023-06-22T20:19:59.394000Z,2023-06-22T21:14:26.711000Z,2023-06-25T15:17:50.047000Z,2023-06-22T21:14:29.540000Z,3268,C1EI1MLP,921,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
6494acefc44c550176f2da53,645a9eb0359fc3f2ab6215e7,APPROVED,2023-06-22T20:20:03.640000Z,2023-06-22T21:30:18.554000Z,2023-06-25T15:17:50.253000Z,2023-06-22T21:30:19.206000Z,4215,C1EI1MLP,817,English,52,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6494acf0a3ada2f76fc62782,613e4bf960ca68f8de00e5e7,APPROVED,2023-06-22T20:20:26.372000Z,2023-06-22T21:19:19.443000Z,2023-06-25T15:17:50.455000Z,2023-06-22T21:21:13.517000Z,3534,C1EI1MLP,378,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6494adc27cb66b55e5a2941b,5ee4a14b578f8a000b384376,APPROVED,2023-06-22T20:24:02.835000Z,2023-06-22T21:34:53.880000Z,2023-06-25T15:17:50.665000Z,2023-06-22T21:34:54.593000Z,4252,C1EI1MLP,1553,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6494b0969db3dab787cbe34d,60171c9b1a726593103182b3,APPROVED,2023-06-22T20:35:49.985000Z,2023-06-22T21:29:57.973000Z,2023-06-25T15:17:50.895000Z,2023-06-22T21:29:58.691000Z,3248,C1EI1MLP,5068,English,50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6494b2fdffebece470c9b0cd,62fb79e7c968f4fc555d1e2f,APPROVED,2023-06-22T20:46:05.963000Z,2023-06-22T21:34:21.875000Z,2023-06-25T15:17:51.115000Z,2023-06-22T21:34:22.691000Z,2896,C1EI1MLP,1168,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,Not Applicable
6494b37689cfa161c343ae6c,5d8cef3c28e183001a335ab0,APPROVED,2023-06-22T20:48:19.139000Z,2023-06-22T21:27:56.098000Z,2023-06-25T15:17:51.327000Z,2023-06-22T21:28:04.836000Z,2377,C1EI1MLP,4250,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6494bdd4d10a290da082c76a,5c5cad3e4ee81200018eafe2,APPROVED,2023-06-22T21:32:10.697000Z,2023-06-22T22:43:57.295000Z,2023-06-26T05:10:16.332000Z,2023-06-22T22:44:00.838000Z,4307,NOCODE,4479,English,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
6490a22a72ffa53f5a901672,5e74ab90a8712c41d2b2afae,APPROVED,2023-06-19T18:44:58.862000Z,2023-06-19T19:30:10.393000Z,2023-06-20T07:10:15.261000Z,2023-06-19T19:30:11.061723Z,2712,NOCODE,554,"English, Portuguese, Spanish",47,Male,White,Spain,Spain,Spain,Spanish,No,DATA_EXPIRED,
6490a25655ab88339040f1a9,5d0a90bb7c5110001acaa336,RETURNED,2023-06-19T18:50:07.379000Z,,,2024-05-02T22:12:28.626094Z,,,379,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a3128374b87f78dbf66c,5fbb3ad7b35218c2a9120d15,APPROVED,2023-06-19T18:48:54.983000Z,2023-06-19T19:37:48.986000Z,2023-06-20T07:10:09.824000Z,2023-06-19T19:37:49.453832Z,2935,C1EI1MLP,66,"Italian, English",22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),
6490a32778f73b1d28bbf28c,615efec678f19c9d2a9dbcf6,RETURNED,2023-06-19T18:49:20.007000Z,,,2024-05-02T22:12:28.629700Z,,,179,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a35f223124eb1b2b75fd,60be6b60d4a12f2ce4c806f2,APPROVED,2023-06-19T18:50:07.592000Z,2023-06-19T20:47:47.762000Z,2023-06-20T07:10:10.038000Z,2023-06-19T20:47:48.275434Z,7061,C1EI1MLP,359,English,25,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking),
6490a390d3d63aa2ab1660cf,5f61d1456de6481859fbd206,APPROVED,2023-06-19T18:51:07.376000Z,2023-06-19T20:02:36.239000Z,2023-06-20T07:10:10.226000Z,2023-06-19T20:02:36.675185Z,4289,C1EI1MLP,83,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
6490a3f2f664c8ccc5549e88,578568e525cb710001288d95,RETURNED,2023-06-19T18:52:34.123000Z,,,2024-05-02T22:12:28.630410Z,,,947,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a41618eaa0e7ff6eb26f,5855878ec41fd900014345d4,RETURNED,2023-06-19T18:53:17.516000Z,,,2024-05-02T22:12:28.633661Z,,,862,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a44d98955238d6fb080b,5f3b3d16d2664625fcfa73aa,RETURNED,2023-06-19T18:54:12.946000Z,,,2024-05-02T22:12:28.638711Z,,,504,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a451551512ca4c585143,5e73746e686c0c2c978392e1,APPROVED,2023-06-19T18:54:24.349000Z,2023-06-19T20:19:18.201000Z,2023-06-20T07:10:10.427000Z,2023-06-19T20:19:21.426374Z,5094,C1EI1MLP,110,"English, French, Spanish",DATA_EXPIRED,Male,DATA_EXPIRED,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED,
6490a4532e1ce3f64fcd3a8c,60e36c2c650c79e11dbc84d7,RETURNED,2023-06-19T18:54:14.616000Z,,,2024-05-02T22:12:28.660020Z,,,155,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6490a4688e46a86bd7736f92,5d38c3f6778895001a3f414d,APPROVED,2023-06-19T18:54:44.781000Z,2023-06-19T19:45:09.955000Z,2023-06-20T07:10:10.613000Z,2023-06-19T19:45:11.352559Z,3026,C1EI1MLP,275,"English, Romanian",37,Female,White,Romania,United Kingdom,Romania,Romanian,Yes,Unemployed (and job seeking),
6490a4c6da81a2804f30e834,5ed4b9f9e227c848a25cbee5,APPROVED,2023-06-19T18:56:26.057000Z,2023-06-19T19:48:04.373000Z,2023-06-20T07:10:10.808000Z,2023-06-19T19:48:05.156328Z,3099,C1EI1MLP,87,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6490a5fafe99ea2a3493374a,6154a030f83558a50783fa7a,APPROVED,2023-06-19T19:01:33.079000Z,2023-06-19T19:59:07.906000Z,2023-06-20T07:10:10.995000Z,2023-06-19T19:59:08.358292Z,3455,C1EI1MLP,279,"English, Estonian",23,Female,White,Estonia,Spain,Estonia,Estonian,Yes,Other,
6490ac42386a3321c23914a0,60867f15c6327e78242c627c,APPROVED,2023-06-19T19:28:06.259000Z,2023-06-19T20:23:54.260000Z,2023-06-20T07:10:11.178000Z,2023-06-19T20:23:55.197865Z,3349,C1EI1MLP,779,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
6490d53482238a6954d1822e,63b80a8b220f924d975670bc,APPROVED,2023-06-19T22:23:23.635000Z,2023-06-19T23:08:53.174000Z,2023-06-20T07:10:11.379000Z,2023-06-19T23:08:53.746477Z,2730,C1EI1MLP,425,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
