consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,click_action_2.rt,resp4.rt,resp4_3.keys,resp4_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,key_resp_36.keys,key_resp_36.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_reval_choice_2.keys,transition_reval_choice_2.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,45.6867,y,10.114,1,8.7109,0,0,0,1,1,planet.png,planet.png,basket.png,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2.8611,0,1,1,0,1,planet.png,planet.png,basket.png,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,a,1,18.9998,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,space,32.9854,space,33.9005,c,24.1782,c,18.1674,b,24.2286,b,26.3488,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,space,45.1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6.4914,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,1,trident.png,bell.png,tophat.png,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,3.5448,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,0,1,1,1,1,planet.png,bell.png,train.png,9,2,4.8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3.0297,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,0,2,2,2,1,trident.png,tree.png,snorkel.png,1,8,4.4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2.3274,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,0,3,3,3,1,trident.png,fox.png,hammer.png,1,2,2.3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2.9181,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,0,4,4,4,1,planet.png,tree.png,snorkel.png,9,8,3.5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,4.8719,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2023-06-22_21h20.50.735,study5_pr_2,2022.2.5,Win32,60.09615385,6107acc592df914a921e2b41,64944c9a5850536c27178b39,6494aceb9a08b117dcc3907f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,0,5,5,5,1,planet.png,bell.png,train.png,9,2,5.3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
