Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63066afa6ba3a223f441c438,5e918b7bf9c9d14abca01622,APPROVED,2022-08-24T18:16:53.391000Z,2022-08-24T19:48:27.941000Z,2022-09-02T13:27:36.525000Z,2022-08-24T19:48:28.385752Z,5495.0,763C1391,295,4.0,99.0,"English, Polish",29,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,
63066afc56d72c1e4d2360d2,60fd5adad03767cff6dddda8,APPROVED,2022-08-24T18:16:28.607000Z,2022-08-24T20:07:16.680000Z,2022-09-02T13:27:36.615000Z,2022-08-24T20:07:17.107963Z,6649.0,763C1391,208,0.0,100.0,"Portuguese, English",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,
63066b93164583b07a9af9e5,5e822d17f956a29530ccc2f8,APPROVED,2022-08-24T18:23:16.613000Z,2022-08-24T20:47:57.922000Z,2022-09-02T13:27:36.703000Z,2022-08-24T20:47:58.276609Z,8682.0,763C1391,252,1.0,100.0,"English, Italian",23,Female,White,Italy,Italy,Italy,Italian,Yes,Other,
63066be5fc0da5cac13bb8a5,5fd28d6a17926504442d501c,APPROVED,2022-08-24T18:20:21.281000Z,2022-08-24T19:59:04.638000Z,2022-09-02T13:27:36.792000Z,2022-08-24T19:59:05.022871Z,5924.0,763C1391,73,0.0,100.0,"Polish, English",25,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),
63066c0ba5267b6aa6bee8c8,613d0ef50abfe24aa600bc84,APPROVED,2022-08-24T18:26:29.323000Z,2022-08-24T20:01:46.418000Z,2022-09-02T13:27:36.885000Z,2022-08-24T20:01:46.816072Z,5718.0,763C1391,68,0.0,100.0,English,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
63066c276fcb92b39bc00f7e,62daeec8e79af298b60dcb83,APPROVED,2022-08-24T18:22:10.588000Z,2022-08-24T19:54:31.678000Z,2022-09-02T13:27:36.971000Z,2022-08-24T19:54:32.078858Z,5542.0,NOCODE,73,1.0,100.0,English,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,
63066cc69e3bc6a2c2f6874b,5cc7443b836ddc0016fec706,APPROVED,2022-08-24T18:24:06.513000Z,2022-08-24T19:59:15.711000Z,2022-09-02T13:27:37.063000Z,2022-08-24T19:59:16.150086Z,5710.0,763C1391,1754,6.0,100.0,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
63066d386e6d661a0e544400,5e7a2fc429c35307d86105a1,APPROVED,2022-08-24T18:26:00.146000Z,2022-08-24T20:44:44.629000Z,2022-09-02T13:27:37.156000Z,2022-08-24T20:44:45.005492Z,8325.0,763C1391,338,0.0,100.0,"Italian, English",28,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time,
63066dda06e50255f941c3b4,5e57a0020c3c6a14a1624031,APPROVED,2022-08-24T18:28:42.941000Z,2022-08-24T19:58:42.014000Z,2022-09-02T13:27:37.249000Z,2022-08-24T19:58:42.397670Z,5400.0,763C1391,524,2.0,100.0,"English, Hungarian",29,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking),
63066ec61fac030d874d9f8b,5ec3b9e83f187802a6aa041e,APPROVED,2022-08-24T18:33:04.917000Z,2022-08-24T20:09:27.672000Z,2022-09-02T13:27:37.340000Z,2022-08-24T20:09:28.086810Z,5783.0,763C1391,576,0.0,100.0,"English, Greek, German, Spanish, French",25,Female,White,Greece,Greece,Greece,Greek,Yes,Part-Time,
