s1_image,s2_image,s3_image,action1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
snorkel.png,snorkel.png,snorkel.png,1
