image1,image2,action2
bell.png,train.png,2
tree.png,snorkel.png,8
unicorn.png,window.png,2
tree.png,north.png,2
bell.png,tophat.png,8
watch.png,houses.png,2
watch.png,compass.png,8
fox.png,hammer.png,2
fox.png,apple.png,8
