sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8884,0.4269,3,3,0,2
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8262,0.4269,4,2,1,2
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8093,0.4269,5,7,1,2
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8978,0.4269,6,0,0,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,3.308,0.5251,1,4,0,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,1.1501,0.5251,2,6,1,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,0.6751,0.5251,3,5,1,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,1.4999,0.5251,4,7,0,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,0.5664,0.5251,5,1,0,2
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0,2.2854,0.5251,6,2,1,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,2.7221,0.5853,1,6,0,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.4963,0.5853,2,5,1,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,1.4511,0.5853,3,1,0,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.1777,0.5853,4,3,1,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,0.623,0.5853,5,4,1,2
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1,0,2.2344,0.5853,6,9,1,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,1.129,1.15415,1,5,1,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.7194,1.15415,2,0,1,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.6184,1.15415,3,7,1,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.9691,1.15415,4,1,1,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,0.5014,1.15415,5,2,0,2
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1,1.7872,1.15415,6,3,0,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.0507,0.53345,1,9,1,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.3042,0.53345,2,5,1,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,0.6066,0.53345,3,7,1,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,0.8183,0.53345,4,0,0,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.5014,0.53345,5,8,1,2
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0,1.4164,0.53345,6,1,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,9.8656,1.0342,1,0,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,5.7748,1.0342,2,1,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,1.7268,1.0342,3,7,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,4.9342,1.0342,4,8,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,0.534,1.0342,5,4,1,2
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.75,0.75,0.75,0.5222,1.0342,6,6,1,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.8039,0.4367,1,7,0,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.6153,0.4367,2,6,1,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,5.2884,0.4367,3,8,1,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,1.5475,0.4367,4,3,0,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,4.4486,0.4367,5,4,0,2
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,0.5,1,1,2.0495,0.4367,6,0,0,2
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.8008,0.30415,1,6,0,2
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.7179,0.30415,2,4,1,2
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.701,0.30415,3,3,0,2
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.6319,0.30415,4,7,0,2
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.7179,0.30415,5,8,1,2
