sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0,0.25,0.25,5.323,0.7292,1,5,1,1
614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0,0.25,0.25,0.4862,0.7292,2,6,0,1
614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0,0.25,0.25,2.3757,0.7292,3,7,0,1
614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0,0.25,0.25,1.8615,0.7292,4,0,0,1
5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,1.5071,0.76845,1,7,0,1
5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,0.4757,0.76845,2,4,0,1
5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,0.6513,0.76845,3,2,0,1
5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,1.185,0.76845,4,3,0,1
63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0,4.2667,0.8573,1,3,0,1
63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0,1.9854,0.8573,2,7,1,1
63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0,0.8003,0.8573,3,2,0,1
63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0,1.5026,0.8573,4,4,1,1
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0,1.1419,0.9003,1,5,1,1
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0,0.7707,0.9003,2,3,1,1
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0,0.8524,0.9003,3,4,0,1
62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0,1.7076,0.9003,4,7,0,1
55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0,0.5,0.5,0.25,1.1511,0.8839,1,5,1,1
55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0,0.5,0.5,0.25,1.4027,0.8839,2,0,1,1
55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0,0.5,0.5,0.25,1.7735,0.8839,3,1,1,1
55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0,0.5,0.5,0.25,0.8914,0.8839,4,4,1,1
5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0,1.1041,0.6859,1,4,1,1
5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0,1.0754,0.6859,2,3,0,1
5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0,3.0949,0.6859,3,6,1,1
5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0,0.7708,0.6859,4,1,1,1
644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0,0.5,0.5,0,3.2439,0.95095,1,2,1,1
644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0,0.5,0.5,0,0.6577,0.95095,2,4,1,1
644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0,0.5,0.5,0,1.7069,0.95095,3,7,1,1
644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0,0.5,0.5,0,2.058,0.95095,4,0,1,1
5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0,2.407,0.847,1,2,1,1
5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0,1.888,0.847,2,0,0,1
5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0,1.458,0.847,3,7,1,1
5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0,1.229,0.847,4,4,0,1
56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0,3.1203,0.7201,1,0,0,1
56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0,2.4843,0.7201,2,7,0,1
56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0,0.9902,0.7201,3,3,0,1
56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0,0.7364,0.7201,4,5,0,1
5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0,1.2341,0.73,1,4,0,1
5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0,0.7023,0.73,2,3,0,1
5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0,0.6501,0.73,3,5,0,1
5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0,1.151,0.73,4,1,1,1
5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0,0.631,1.223,1,5,0,1
5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0,1.624,1.223,2,6,0,1
5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0,0.913,1.223,3,0,0,1
5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0,1.371,1.223,4,3,0,1
5study6_2023-08-14_15h13.08.651.csv,0.166666667,0.25,0.25,0,2.0288,0.8466,1,6,1,1
