,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR,MB,BR
23,609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0.0,1.5837,1.0084,1,5,0,1,0.45139896518391565,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
24,609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0.0,1.1564,1.0084,2,7,1,1,0.1369468148284263,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
25,609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0.0,1.2258,1.0084,3,2,0,1,0.1952287757378667,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
26,609140cea1442672dd2141d7_study6_2023-08-14_17h33.29.125.csv,0.333333333,0.25,0.5,0.0,0.9889,1.0084,4,3,1,1,-0.019526981037819604,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
27,5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,3.9869,1.08605,1,1,0,1,1.3004667256021827,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
28,5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,0.6682,1.08605,2,4,0,1,-0.4857150100270463,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
29,5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,0.384,1.08605,3,5,0,1,-1.0396599873619756,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
30,5aafd9eff69e940001d88bf4_study6_2023-08-14_15h17.37.738.csv,0.666666667,0.5,0.5,0.25,1.1516,1.08605,4,0,0,1,0.05860501878831832,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
31,5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0.0,7.315,0.9107,1,0,0,1,2.083468778880452,-0.7684350960957245,-0.8512688978323589,-1.6968348900279673
32,5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0.0,6.4153,0.9107,2,7,0,1,1.9522275067761057,-0.7684350960957245,-0.8512688978323589,-1.6968348900279673
33,5b648251bd56550001bf31fd_study6_2023-08-14_16h13.15.663.csv,0.5,0.75,0.25,0.0,6.2298,0.9107,3,2,0,1,1.9228859739636905,-0.7684350960957245,-0.8512688978323589,-1.6968348900279673
35,5study6_2023-08-14_17h35.30.229.csv,0.166666667,0.0,0.25,0.0,0.8193,0.919,2,5,1,1,-0.11483580520791806,-0.43510176309572446,-0.8512688978323589,-2.4468348900279673
36,5study6_2023-08-14_17h35.30.229.csv,0.166666667,0.0,0.25,0.0,1.0001,0.919,3,2,1,1,0.08456915162678331,-0.43510176309572446,-0.8512688978323589,-2.4468348900279673
37,5study6_2023-08-14_17h35.30.229.csv,0.166666667,0.0,0.25,0.0,1.015,0.919,4,0,0,1,0.09935776912020049,-0.43510176309572446,-0.8512688978323589,-2.4468348900279673
38,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,4.4551,0.8338,1,1,1,1,1.6758112208954032,-0.26843509609572447,-0.8512688978323589,-1.6968348900279673
39,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.8714,0.8338,2,6,1,1,0.04410754823664525,-0.26843509609572447,-0.8512688978323589,-1.6968348900279673
40,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.9723,0.8338,3,0,1,1,0.1536708333689149,-0.26843509609572447,-0.8512688978323589,-1.6968348900279673
41,5study6_2023-08-14_18h25.13.383.csv,0.0,0.75,0.25,0.0,0.4846,0.8338,4,2,1,1,-0.5426697570642712,-0.26843509609572447,-0.8512688978323589,-1.6968348900279673
42,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.666666667,0.5,0.5,0.25,0.6073,0.6834,1,4,0,1,-0.11805743677766184,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
43,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.666666667,0.5,0.5,0.25,0.2845,0.6834,2,1,0,1,-0.876347086114806,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
44,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.666666667,0.5,0.5,0.25,0.3414,0.6834,3,5,0,1,-0.6940255293208513,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
45,63ed27349738654dde4655ae_study6_2023-08-14_17h33.35.679.csv,0.666666667,0.5,0.5,0.25,0.3768,0.6834,4,7,0,1,-0.5953657969789835,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
46,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,5.323,0.7292,1,5,1,1,1.9878442903682496,-0.7684350960957245,-0.6012688978323589,-2.4468348900279673
47,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,0.4862,0.7292,2,6,0,1,-0.40532798092248484,-0.7684350960957245,-0.6012688978323589,-2.4468348900279673
48,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,2.3757,0.7292,3,7,0,1,1.1810993670799685,-0.7684350960957245,-0.6012688978323589,-2.4468348900279673
49,614e2446523bb49af662fb62_study6_2023-08-14_12h09.04.866.csv,0.5,0.0,0.25,0.25,1.8615,0.7292,4,0,0,1,0.9371898505082635,-0.7684350960957245,-0.6012688978323589,-2.4468348900279673
50,5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,1.5071,0.76845,1,7,0,1,0.6735670543723098,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
51,5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,0.4757,0.76845,2,4,0,1,-0.4795880956150852,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
52,5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,0.6513,0.76845,3,2,0,1,-0.16540513350096517,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
53,5study6_2023-08-14_16h13.23.056.csv,0.666666667,0.5,0.5,0.25,1.185,0.76845,4,3,0,1,0.43312255451591075,-0.9351017630957245,-0.6012688978323589,-1.9468348900279673
54,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0.0,4.2667,0.8573,1,3,0,1,1.6048080580243713,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
55,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0.0,1.9854,0.8573,2,7,1,1,0.8397877684709114,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
56,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0.0,0.8003,0.8573,3,2,0,1,-0.06880125831170966,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
57,63d196c147d1f420690e5b87_study6_2023-08-18_01h08.31.061.csv,0.333333333,0.25,0.25,0.0,1.5026,0.8573,4,4,1,1,0.5611643042503499,-0.6017684290957245,-0.8512688978323589,-2.1968348900279673
58,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0.0,1.1419,0.9003,1,5,1,1,0.23772077959317114,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
59,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0.0,0.7707,0.9003,2,3,1,1,-0.1554288483304834,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
60,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0.0,0.8524,0.9003,3,4,0,1,-0.05467214088996899,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
61,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.333333333,0.5,0.25,0.0,1.7076,0.9003,4,7,0,1,0.6401161137693758,-0.6017684290957245,-0.8512688978323589,-1.9468348900279673
62,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.1511,0.8839,1,5,1,1,0.2641293518541141,-0.26843509609572447,-0.6012688978323589,-1.9468348900279673
63,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.4027,0.8839,2,0,1,1,0.4618102956587234,-0.26843509609572447,-0.6012688978323589,-1.9468348900279673
64,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.7735,0.8839,3,1,1,1,0.6963663401467742,-0.26843509609572447,-0.6012688978323589,-1.9468348900279673
65,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,0.8914,0.8839,4,4,1,1,0.008449326445553122,-0.26843509609572447,-0.6012688978323589,-1.9468348900279673
66,5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0.0,1.1041,0.6859,1,4,1,1,0.4760539579398158,-0.43510176309572446,-0.8512688978323589,-1.9468348900279673
67,5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0.0,1.0754,0.6859,2,3,0,1,0.44971611987030197,-0.43510176309572446,-0.8512688978323589,-1.9468348900279673
68,5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0.0,3.0949,0.6859,3,6,1,1,1.5067790299137298,-0.43510176309572446,-0.8512688978323589,-1.9468348900279673
69,5study6_2023-08-14_17h32.13.327.csv,0.166666667,0.5,0.5,0.0,0.7708,0.6859,4,1,1,1,0.11669709203493568,-0.43510176309572446,-0.8512688978323589,-1.9468348900279673
70,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,3.2439,0.95095,1,2,1,1,1.2270701036919311,-0.26843509609572447,-0.8512688978323589,-1.9468348900279673
71,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,0.6577,0.95095,2,4,1,1,-0.36871258462036477,-0.26843509609572447,-0.8512688978323589,-1.9468348900279673
72,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,1.7069,0.95095,3,7,1,1,0.5849726538426172,-0.26843509609572447,-0.8512688978323589,-1.9468348900279673
73,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,2.058,0.95095,4,0,1,1,0.7720284314663247,-0.26843509609572447,-0.8512688978323589,-1.9468348900279673
74,5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0.0,2.407,0.847,1,2,1,1,1.0444357431310176,-0.6017684290957245,-0.8512688978323589,-1.6968348900279673
75,5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0.0,1.888,0.847,2,0,0,1,0.8015726520533916,-0.6017684290957245,-0.8512688978323589,-1.6968348900279673
76,5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0.0,1.458,0.847,3,7,1,1,0.5431202179165491,-0.6017684290957245,-0.8512688978323589,-1.6968348900279673
77,5study6_2023-08-17_19h08.56.829.csv,0.333333333,0.75,0.25,0.0,1.229,0.847,4,4,0,1,0.37225541491398056,-0.6017684290957245,-0.8512688978323589,-1.6968348900279673
