,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR,MB,BR
0,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,1.189,0.8883,1,5,1,2,0.2915583729151266,-1.95493411076023,-1.051987951935807,-3.1181569944468635
1,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,0.704,0.8883,2,3,1,2,-0.23253116761761292,-1.95493411076023,-1.051987951935807,-3.1181569944468635
2,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,0.7348,0.8883,3,6,0,2,-0.18971117043468466,-1.95493411076023,-1.051987951935807,-3.1181569944468635
3,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,1.1418,0.8883,4,0,0,2,0.25105171975450347,-1.95493411076023,-1.051987951935807,-3.1181569944468635
4,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,0.2895,0.8883,5,7,1,2,-1.1211542267626053,-1.95493411076023,-1.051987951935807,-3.1181569944468635
5,5PARTICIPANT_study2_2022-11-23_16h26.14.304.csv,0.666666667,0.5,0.5,0.25,0.32,0.8883,6,8,1,2,-1.020988527981883,-1.95493411076023,-1.051987951935807,-3.1181569944468635
6,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,2.1108,0.60445,1,0,1,2,1.2505033478835117,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
7,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,0.9773,0.60445,2,7,0,2,0.48047471369678907,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
8,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,1.0368,0.60445,3,6,1,2,0.5395753719500092,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
9,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,1.3837,0.60445,4,4,0,2,0.8281973960273377,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
10,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,0.4398,0.60445,5,9,1,2,-0.31799887552734013,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
11,62ea83ca983737891e4a162f_study2_2022-11-23_09h51.14.876.csv,0.5,0.75,0.75,1.0,2.074,0.60445,6,1,0,2,1.2329154351414715,-2.12160077776023,-0.3019879519358071,-2.8681569944468635
12,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,1.481,1.0015,1,5,1,2,0.39121865916192583,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
13,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,2.067,1.0015,2,2,1,2,0.7245994045758953,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
14,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,0.353,1.0015,3,9,1,2,-1.0427860981725763,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
15,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,0.373,1.0015,4,3,1,2,-0.9876757354620576,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
16,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,0.713,1.0015,5,7,0,2,-0.3397727346915771,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
17,5PARTICIPANT_study2_2022-11-23_09h54.03.794.csv,0.833333333,0.5,1.0,0.0,0.382,1.0015,6,0,1,2,-0.9638335464992979,-1.7882674447602298,-1.301987951935807,-3.1181569944468635
18,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.6059,0.4269,1,9,0,2,0.35016516218702703,-2.12160077776023,-1.051987951935807,-3.3681569944468635
19,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.6147,0.4269,2,8,1,2,0.3645845501490474,-2.12160077776023,-1.051987951935807,-3.3681569944468635
20,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8884,0.4269,3,3,0,2,0.732872298256356,-2.12160077776023,-1.051987951935807,-3.3681569944468635
21,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8262,0.4269,4,2,1,2,0.6602870811987479,-2.12160077776023,-1.051987951935807,-3.3681569944468635
22,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8093,0.4269,5,7,1,2,0.6396198827377398,-2.12160077776023,-1.051987951935807,-3.3681569944468635
23,608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8978,0.4269,6,0,0,2,0.7433975325839154,-2.12160077776023,-1.051987951935807,-3.3681569944468635
24,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,3.308,0.5251,1,4,0,2,1.8405103354997683,-2.12160077776023,-1.301987951935807,-3.3681569944468635
25,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,1.1501,0.5251,2,6,1,2,0.7840154534547219,-2.12160077776023,-1.301987951935807,-3.3681569944468635
26,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,0.6751,0.5251,3,5,1,2,0.2512721074040113,-2.12160077776023,-1.301987951935807,-3.3681569944468635
27,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,1.4999,0.5251,4,7,0,2,1.0495649975575,-2.12160077776023,-1.301987951935807,-3.3681569944468635
28,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,0.5664,0.5251,5,1,0,2,0.07571182173569638,-2.12160077776023,-1.301987951935807,-3.3681569944468635
29,60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,2.2854,0.5251,6,2,1,2,1.4707076220687998,-2.12160077776023,-1.301987951935807,-3.3681569944468635
30,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,2.7221,0.5853,1,6,0,2,1.5370343839322966,-1.95493411076023,-1.301987951935807,-3.1181569944468635
31,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,0.4963,0.5853,2,5,1,2,-0.16494395370378018,-1.95493411076023,-1.301987951935807,-3.1181569944468635
32,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,1.4511,0.5853,3,1,0,2,0.907952632199872,-1.95493411076023,-1.301987951935807,-3.1181569944468635
33,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,0.1777,0.5853,4,3,1,2,-1.1920278011365697,-1.95493411076023,-1.301987951935807,-3.1181569944468635
34,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,0.623,0.5853,5,4,1,2,0.06242198249027779,-1.95493411076023,-1.301987951935807,-3.1181569944468635
35,610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.666666667,0.5,1.0,0.0,2.2344,0.5853,6,9,1,2,1.3396034783337918,-1.95493411076023,-1.301987951935807,-3.1181569944468635
36,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,1.129,1.15415,1,5,1,2,-0.02203185714034523,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
37,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.7194,1.15415,2,0,1,2,-0.4727018900284836,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
38,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.6184,1.15415,3,7,1,2,-0.6239839240167951,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
39,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.9691,1.15415,4,1,1,2,-0.1747516155495029,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
40,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,0.5014,1.15415,5,2,0,2,-0.8337152355658143,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
41,5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.666666667,0.25,0.75,1.0,1.7872,1.15415,6,3,0,2,0.43728600702492904,-1.95493411076023,-0.3019879519358071,-3.3681569944468635
42,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.0507,0.53345,1,9,1,2,0.6778465420572594,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
43,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.3042,0.53345,2,5,1,2,0.8939797593216318,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
44,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,0.6066,0.53345,3,7,1,2,0.1285042496170106,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
45,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,0.8183,0.53345,4,0,0,2,0.42786367189586577,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
46,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.5014,0.53345,5,8,1,2,1.0347879395014319,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
47,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,0.75,0.75,0.0,1.4164,0.53345,6,1,1,2,0.9765083746002785,-1.7882674447602298,-1.301987951935807,-2.8681569944468635
48,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,9.8656,1.0342,1,0,1,2,2.25542577772971,-1.62160077776023,-0.5519879519358071,-2.8681569944468635
