consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,7.6326,y,8.81,1,6.5334,0,0,0,1,1,planet.png,planet.png,basket.png,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.6549,0,1,1,0,1,planet.png,planet.png,basket.png,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,a,1,9.9373,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,space,42.6195,space,45.7475,c,21.4215,d,44.6387,b,40.0011,b,71.1685,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.8773,y,2.602,1,1.4671,0,0,0,0,1,planet.png,planet.png,basket.png,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1.4143,0,1,1,1,1,planet.png,planet.png,basket.png,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,a,1,1.3753,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,space,7.7013,space,5.4555,c,81.5348,c,169.1638,b,68.1447,b,80.9705,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,space,103.1256,1,1,6.3483,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,trident.png,bell.png,tophat.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2.6293,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,planet.png,bell.png,train.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3.2519,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,trident.png,tree.png,snorkel.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3.5862,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,trident.png,fox.png,hammer.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,5.3348,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,planet.png,tree.png,snorkel.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2.2104,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,001,2022-11-23_11h50.53.811,study2,2021.1.3,Win32,59.78358343,5c976a80bfb5690001eeeb84,637dc7c88c01b3975e7366f5,637decf74985f353abe4933e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,planet.png,bell.png,train.png,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
