Image,PR_EV,SR_EV,MB_EV,BR_EV,trial_num
north,0.2,-0.08,-0.08,1,2
bell,0.2,-0.15,-0.15,1,3
train,0.2,-0.08,-0.08,1,4
snorkel,0.2,-0.08,-0.08,1,5
tophat,0.2,-0.08,-0.08,1,6
tree,0.2,-0.15,-0.15,1,1
Houses (low),0.5,0.025,0.025,-1,9
Compass (low),0.5,0.025,0.025,-1,10
Apple (high),1,0.2,0.2,1,8
hammer (high),1,0.2,0.2,1,7
hammer.png,0,0,1,1,11
compass.png,0,0,1,-1,14
houses.png,0,0,1,-1,13
apple.png,0,0,1,1,12
