consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action.rt,resp4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,resp4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_12.keys,key_resp_12.rt,key_resp_15.keys,key_resp_15.rt,key_resp_24.keys,key_resp_24.rt,key_resp_25.keys,key_resp_25.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,r4_num,r5,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
space,41.092,y,37.399,1,3.788,0,0,0,1,1,planet.png,planet.png,basket.png,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,2.42,0,1,1,0,1,planet.png,planet.png,basket.png,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,a,1,18.205,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,space,22.458,space,41.613,c,28.596,d,161.869,b,38.887,b,31.023,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.319,y,2.62,1,1.548,0,0,0,0,1,planet.png,planet.png,basket.png,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,0.703,0,1,1,1,1,planet.png,planet.png,basket.png,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,a,1,5.072,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,space,17.166,space,3.394,c,25.246,c,113.033,b,71.222,b,107.095,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.301,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,63174af7d57182f9bf90c094,001,2022-11-23_09h51.09.126,study2,2021.1.3,Win32,59.95203837,63174af7d57182f9bf90c094,637dc7c88c01b3975e7366f5,637decf4de287134b5a236e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,2.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
