sub,choice,PR_EV,SR_EV,MB_EV,BR_EV
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,1,0.5,0.025,0.025,-1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,1,1.0,0.2,0.2,1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,1,0.2,-0.15,-0.15,1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,1,0.2,-0.15,-0.15,1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0,0.0,0.0,0.5,1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0,0.0,0.0,0.5,-1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0,0.0,0.0,0.5,-1.0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0,0.0,0.0,0.5,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.2,-0.08,-0.08,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.2,-0.15,-0.15,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,1.0,0.2,0.2,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.2,-0.08,-0.08,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.2,-0.15,-0.15,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0,0.2,-0.08,-0.08,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.5,0.025,0.025,-1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.5,0.025,0.025,-1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0,1.0,0.2,0.2,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0,0.2,-0.08,-0.08,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.0,0.0,0.5,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.0,0.0,0.5,1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.0,0.0,0.5,-1.0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,1,0.0,0.0,0.5,-1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.5,0.025,0.025,-1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.2,-0.08,-0.08,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,1.0,0.2,0.2,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.2,-0.15,-0.15,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.5,0.025,0.025,-1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.2,-0.08,-0.08,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.2,-0.15,-0.15,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.2,-0.08,-0.08,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,0.2,-0.08,-0.08,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,1,1.0,0.2,0.2,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.0,0.0,0.5,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.0,0.0,0.5,1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.0,0.0,0.5,-1.0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0,0.0,0.0,0.5,-1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.15,-0.15,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.08,-0.08,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,1.0,0.2,0.2,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,0,0.5,0.025,0.025,-1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.08,-0.08,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,1.0,0.2,0.2,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.15,-0.15,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.5,0.025,0.025,-1.0
