sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.6059,0.4269,1,9.0,0
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.6147,0.4269,2,8.0,1
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8884,0.4269,3,3.0,0
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8262,0.4269,4,2.0,1
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8093,0.4269,5,7.0,1
608254e72addda3937fd934b_study2_2022-11-23_21h00.17.597.csv,0.5,0.25,0.25,0.25,0.8978,0.4269,6,0.0,0
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,3.308,0.5251,1,4.0,0
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,1.1501,0.5251,2,6.0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,0.6751,0.5251,3,5.0,1
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,1.4999,0.5251,4,7.0,0
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,0.5664,0.5251,5,1.0,0
60a0dfc6f9936b0d30dfea15_study2_2022-11-23_11h51.44.088.csv,0.5,0.25,0.75,0.0,2.2854,0.5251,6,2.0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,2.7221,0.5853,1,6.0,0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,0.4963,0.5853,2,5.0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,1.4511,0.5853,3,1.0,0
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,0.1777,0.5853,4,3.0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,0.623,0.5853,5,4.0,1
610a5da4bc12c2340a6a0051_study2_2022-11-23_12h07.44.077.csv,0.6666666666666666,0.5,1.0,0.0,2.2344,0.5853,6,9.0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,1.129,1.15415,1,5.0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,0.7194,1.15415,2,0.0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,0.6184,1.15415,3,7.0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,0.9691,1.15415,4,1.0,1
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,0.5014,1.15415,5,2.0,0
5b8c8e7d0c740e00019d55c3_study2_2022-11-23_04h58.47.373.csv,0.6666666666666666,0.25,0.75,1.0,1.7872,1.15415,6,3.0,0
