Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63919c915ce968eea5fef1d0,5d430fdf871f1700017b2a81,APPROVED,2022-12-08T08:13:07.965000Z,2022-12-08T09:59:31.035000Z,2022-12-09T08:21:38.445000Z,2022-12-08T09:59:31.335836Z,6384.0,C1EI1MLP,650,"English, Catalan, Spanish",51,Male,White,Spain,Spain,Spain,Catalan,No,Full-Time,
63919cdc86cfd394b960fc56,5ffdf54a500d7740e02f3639,APPROVED,2022-12-08T08:18:06.134000Z,2022-12-08T09:58:06.738000Z,2022-12-09T08:21:38.526000Z,2022-12-08T09:58:07.136191Z,6001.0,C1EI1MLP,258,"Italian, English",27,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,
63919d13590cf71e8e14b33e,5b1775aebdf4e10001631c75,APPROVED,2022-12-08T08:15:15.492000Z,2022-12-08T09:52:55.603000Z,2022-12-09T08:21:38.609000Z,2022-12-08T09:52:55.989174Z,5861.0,C1EI1MLP,62,"Dutch, English",24,Female,White,Belgium,Belgium,Belgium,Dutch,Yes,Part-Time,
63919df5c0e908b237a88b13,5f9c70519242e010e0f1c608,APPROVED,2022-12-08T08:19:01.067000Z,2022-12-08T09:50:36.489000Z,2022-12-09T08:21:38.688000Z,2022-12-08T09:50:36.813552Z,5496.0,C1EI1MLP,210,"English, Italian, Japanese",26,Male,White,Italy,Italy,Italy,Italian,Yes,Other,
63919df7dd1ba064e812c0a9,63066ec05eef5ac6baf1c158,APPROVED,2022-12-08T08:19:34.803000Z,2022-12-08T10:34:01.502000Z,2022-12-09T08:21:38.774000Z,2022-12-08T10:34:01.913432Z,8067.0,C1EI1MLP,59,"English, Other",26,Male,Black,Nigeria,Netherlands,Nigeria,English,No,Unemployed (and job seeking),
63919e260717547e70c65a04,5d5193ce23e3ae0001f5f262,APPROVED,2022-12-08T08:19:50.927000Z,2022-12-08T10:00:23.214000Z,2022-12-09T08:21:38.858000Z,2022-12-08T10:00:23.611658Z,6033.0,C1EI1MLP,336,"English, Finnish",30,Male,White,Finland,Finland,Finland,Finnish,No,Unemployed (and job seeking),
63919e31d6c60a4695910d24,58dc5764bd5abb000185ee7b,APPROVED,2022-12-08T08:20:11.337000Z,2022-12-08T10:23:48.560000Z,2022-12-09T08:21:38.939000Z,2022-12-08T10:23:48.943019Z,7418.0,C1EI1MLP,751,English,34,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,
63919e3d1763289caf013622,5f09f8393ca8420e457c44c3,APPROVED,2022-12-08T08:20:12.999000Z,2022-12-08T09:52:52.600000Z,2022-12-09T08:21:39.023000Z,2022-12-08T09:52:52.922941Z,5560.0,C1EI1MLP,184,"English, Portuguese",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking),
63919e4f400dbe60c4d0518e,5d4ce3e7ffbcf800179d56cd,APPROVED,2022-12-08T08:20:31.713000Z,2022-12-08T10:03:56.857000Z,2022-12-09T08:21:39.105000Z,2022-12-08T10:03:57.287072Z,6206.0,C1EI1MLP,177,"English, Portuguese",22,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED,
63919e88522170bf5560da17,5f4fa43ff313fc07706bb0fe,APPROVED,2022-12-08T08:21:28.657000Z,2022-12-08T10:16:13.485000Z,2022-12-09T08:21:39.184000Z,2022-12-08T10:16:13.850035Z,6885.0,C1EI1MLP,332,"English, Finnish",45,Male,White,Finland,Finland,Finland,Finnish,No,Part-Time,
63919e9e58ab4e17e4910d65,5c5b31c415f6c30001de2df5,APPROVED,2022-12-08T08:21:50.501000Z,2022-12-08T10:05:32.769000Z,2022-12-09T08:21:39.268000Z,2022-12-08T10:05:33.208089Z,6223.0,C1EI1MLP,381,"English, Portuguese",22,Male,Mixed,United Kingdom,Portugal,United Kingdom,English,No,DATA_EXPIRED,
63919ea50188eef862c77f4b,614b801091af729920910b87,APPROVED,2022-12-08T08:26:39.869000Z,2022-12-08T10:12:19.995000Z,2022-12-09T08:21:39.352000Z,2022-12-08T10:12:20.669196Z,6341.0,C1EI1MLP,323,"English, Portuguese, Spanish, French",33,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,
