s1_image,s2_image,s3_image,action1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,train.png,1
planet.png,bell.png,compass.png,9
trident.png,fox.png,train.png,1
planet.png,tree.png,north.png,9
trident.png,fox.png,tophat.png,1
planet.png,watch.png,compass.png,9
trident.png,fox.png,tophat.png,1
trident.png,tree.png,snorkel.png,1
trident.png,fox.png,tophat.png,1
planet.png,tree.png,snorkel.png,9
trident.png,fox.png,tophat.png,1
planet.png,bell.png,compass.png,9
planet.png,bell.png,compass.png,9
planet.png,bell.png,houses.png,9
trident.png,bell.png,houses.png,1
trident.png,fox.png,tophat.png,1
trident.png,bell.png,houses.png,1
trident.png,fox.png,train.png,1
planet.png,watch.png,houses.png,9
planet.png,tree.png,snorkel.png,9
trident.png,fox.png,tophat.png,1
trident.png,fox.png,train.png,1
trident.png,tree.png,snorkel.png,1
trident.png,bell.png,compass.png,1
trident.png,bell.png,houses.png,1
trident.png,tree.png,snorkel.png,1
planet.png,watch.png,houses.png,9
trident.png,bell.png,houses.png,1
planet.png,tree.png,north.png,9
trident.png,fox.png,tophat.png,1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,tophat.png,1
trident.png,tree.png,north.png,1
trident.png,fox.png,tophat.png,1
planet.png,watch.png,houses.png,9
trident.png,tree.png,north.png,1
planet.png,watch.png,houses.png,9
trident.png,fox.png,tophat.png,1
trident.png,fox.png,tophat.png,1
planet.png,bell.png,houses.png,9
trident.png,fox.png,tophat.png,1
planet.png,watch.png,compass.png,9
trident.png,fox.png,tophat.png,1
trident.png,bell.png,compass.png,1
trident.png,fox.png,train.png,1
trident.png,bell.png,houses.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,train.png,1
trident.png,bell.png,houses.png,1
trident.png,tree.png,snorkel.png,1
trident.png,bell.png,houses.png,1
trident.png,bell.png,compass.png,1
trident.png,bell.png,compass.png,1
trident.png,bell.png,houses.png,1
trident.png,fox.png,tophat.png,1
planet.png,watch.png,houses.png,9
planet.png,watch.png,houses.png,9
trident.png,fox.png,train.png,1
trident.png,bell.png,compass.png,1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,tophat.png,1
trident.png,tree.png,north.png,1
trident.png,fox.png,train.png,1
planet.png,watch.png,houses.png,9
planet.png,bell.png,compass.png,9
trident.png,fox.png,train.png,1
trident.png,fox.png,train.png,1
trident.png,fox.png,train.png,1
trident.png,bell.png,houses.png,1
planet.png,tree.png,north.png,9
planet.png,bell.png,houses.png,9
planet.png,watch.png,compass.png,9
trident.png,fox.png,tophat.png,1
trident.png,tree.png,snorkel.png,1
trident.png,fox.png,tophat.png,1
trident.png,fox.png,tophat.png,1
planet.png,bell.png,houses.png,9
planet.png,watch.png,houses.png,9
planet.png,bell.png,houses.png,9
trident.png,bell.png,compass.png,1
trident.png,tree.png,snorkel.png,1
